ENTREZID	final_module_id	final_module_label	final_module_status	module_direction	module_direction_sign	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	primary_scoring_weight	optional_abs_logFC_weight	scoring_role	primary_scoring_rule	optional_sensitivity_rule	mapped_SYMBOL	mapped_ENSEMBL	ensembl_available_in_GSE161731	symbol_available_in_GSE161731
100507436	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.58167809274434	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000204520	TRUE	FALSE
100507436	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.58167809274434	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000235233	FALSE	FALSE
100507436	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.58167809274434	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000233051	FALSE	FALSE
100507436	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.58167809274434	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000231225	FALSE	FALSE
100507436	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.58167809274434	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MICA	ENSG00000183214	FALSE	FALSE
10146	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	G3BP1		G3BP stress granule assembly factor 1		-0.917104162086925	0.000148402121778711	-1.10153018921127	-0.824664200032906	Tier_1_cross_site_FDR05_direction_concordant	1	0.921993776043383	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	G3BP1	ENSG00000145907	TRUE	FALSE
1021	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	CDK6		cyclin dependent kinase 6		-0.474248853500893	0.0180640810284527	-0.365497617189642	-0.668094347891454	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.476777349072907	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	CDK6	ENSG00000105810	TRUE	FALSE
10219	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	KLRG1		killer cell lectin like receptor G1		-0.79639163755252	0.00105036759700178	-0.641679197887427	-1.0907662675894	Tier_1_cross_site_FDR05_direction_concordant	1	0.800637663060596	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	KLRG1	ENSG00000139187	TRUE	FALSE
10225	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	CD96		CD96 molecule		-0.491818046263754	0.00297777216441115	-0.0546654118789724	-1.18119450149334	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.558703583784116	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	CD96	ENSG00000153283	TRUE	FALSE
10346	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	TRIM22		tripartite motif containing 22		-1.13416366414571	2.48362996234425e-11	-1.5318546972203	-0.666165315390674	Tier_1_cross_site_FDR05_direction_concordant	1	1.1402105481425	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	TRIM22	ENSG00000132274	TRUE	FALSE
10346	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	TRIM22		tripartite motif containing 22		-1.13416366414571	2.48362996234425e-11	-1.5318546972203	-0.666165315390674	Tier_1_cross_site_FDR05_direction_concordant	1	1.28840596348535	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	TRIM22	ENSG00000132274	TRUE	FALSE
10379	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	IRF9		interferon regulatory factor 9		-0.316844333295578	0.0444683809982418	-0.535764730355725	-0.0327970863829255	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.318533614119014	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	IRF9	ENSG00000213928	TRUE	FALSE
10379	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	IRF9		interferon regulatory factor 9		-0.316844333295578	0.0444683809982418	-0.535764730355725	-0.0327970863829255	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.318533614119014	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	IRF9	ENSG00000285048	FALSE	FALSE
10385	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	BTN2A2		butyrophilin subfamily 2 member A2		-1.45979072394088	6.41302739528099e-17	-1.44284626795883	-1.58198191351521	Tier_1_cross_site_FDR05_direction_concordant	1	1.65831716675803	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	BTN2A2	ENSG00000124508	TRUE	FALSE
10410	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	IFITM3		interferon induced transmembrane protein 3		-0.686449914635831	0.000557379185905744	-0.78907208345949	-0.610884140524759	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.690109777083053	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	IFITM3	ENSG00000142089	TRUE	FALSE
10410	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	primary_discovery_submodule	higher_in_viral	-1	IFITM3		interferon induced transmembrane protein 3		-0.686449914635831	0.000557379185905744	-0.78907208345949	-0.610884140524759	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.484039903689711	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	IFITM3	ENSG00000142089	TRUE	FALSE
10410	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	IFITM3		interferon induced transmembrane protein 3		-0.686449914635831	0.000557379185905744	-0.78907208345949	-0.610884140524759	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.779804706860355	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	IFITM3	ENSG00000142089	TRUE	FALSE
10417	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	SPON2		spondin 2		-0.601152329292892	0.00172333760165464	-0.296130622161063	-1.16051473260391	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.604357420863493	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	SPON2	ENSG00000159674	TRUE	FALSE
10417	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	SPON2		spondin 2		-0.601152329292892	0.00172333760165464	-0.296130622161063	-1.16051473260391	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.682906947655979	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	SPON2	ENSG00000159674	TRUE	FALSE
10462	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	CLEC10A		C-type lectin domain containing 10A		-0.935430766035213	0.00049515949860341	-1.05525983271543	-0.802043374812847	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.940418089741714	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	CLEC10A	ENSG00000132514	TRUE	FALSE
10475	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	TRIM38		tripartite motif containing 38		-1.6331098772123	8.87192941420284e-11	-2.05792378282288	-1.10777884039335	Tier_1_cross_site_FDR05_direction_concordant	1	1.64181693272263	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	TRIM38	ENSG00000112343	TRUE	FALSE
