final_module_id	ENTREZID	SYMBOL	final_module_label	module_direction	locked_entrez_present	any_ensembl_mapping	matched_by_ensembl	matched_by_symbol	matched_ensembl_ids	all_mapped_ensembl_ids
VIR_M1a	1435	CSF1	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000184371	ENSG00000184371
VIR_M1a	146857	SLFN13	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000154760	ENSG00000154760
VIR_M2	1514	CTSL	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000135047	ENSG00000135047
VIR_M1a	151636	DTX3L	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000163840	ENSG00000163840
VIR_M1a	164668	APOBEC3H	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000100298	ENSG00000100298
VIR_M1a	1654	DDX3X	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000215301	ENSG00000215301
VIR_M1b	1654	DDX3X	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000215301	ENSG00000215301
VIR_M2	166793	ZBTB49	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000168826	ENSG00000168826
VIR_M1a	1672	DEFB1	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	FALSE	FALSE	""	ENSG00000164825;ENSG00000284881
VIR_M2	1672	DEFB1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	FALSE	FALSE	""	ENSG00000164825;ENSG00000284881
VIR_M2	1880	GPR183	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000169508	ENSG00000169508
BACT_M1	1979	EIF4EBP2	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	TRUE	TRUE	TRUE	FALSE	ENSG00000148730	ENSG00000148730
VIR_M2	1997	ELF1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000120690	ENSG00000120690
VIR_M1a	200316	APOBEC3F	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000128394	ENSG00000128394
VIR_M1b	200316	APOBEC3F	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000128394	ENSG00000128394
VIR_M2	2113	ETS1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000134954	ENSG00000134954
VIR_M2	2206	MS4A2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000149534	ENSG00000149534
VIR_M2	2213	FCGR2B	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000072694	ENSG00000072694
VIR_M2	2214	FCGR3A	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000203747	ENSG00000203747
VIR_M2	2215	FCGR3B	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000162747	ENSG00000162747
VIR_M1a	22890	ZBTB1	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000126804	ENSG00000126804
VIR_M2	22890	ZBTB1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000126804	ENSG00000126804
VIR_M1a	22954	TRIM32	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000119401	ENSG00000119401
VIR_M1a	23052	ENDOD1	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000149218	ENSG00000149218
VIR_M1a	23087	TRIM35	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000104228	ENSG00000104228
VIR_M2	23119	HIC2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000169635	ENSG00000169635
VIR_M1a	23138	N4BP3	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000145911	ENSG00000145911
VIR_M2	23308	ICOSLG	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000160223	ENSG00000160223
VIR_M2	23411	SIRT1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000096717	ENSG00000096717
VIR_M1a	23547	LILRA4	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000239961	ENSG00000239961;ENSG00000274185;ENSG00000276798;ENSG00000277092
VIR_M1a	23586	RIGI	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000107201	ENSG00000107201
VIR_M1b	23586	RIGI	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000107201	ENSG00000107201
VIR_M2	23598	PATZ1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000100105	ENSG00000100105
VIR_M1a	24138	IFIT5	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000152778	ENSG00000152778
VIR_M1b	24138	IFIT5	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000152778	ENSG00000152778
VIR_M2	24145	PANX1	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000110218	ENSG00000110218
VIR_M1a	2444	FRK	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	FALSE	FALSE	""	ENSG00000111816
VIR_M1a	246778	IL27	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000197272	ENSG00000197272
VIR_M1a	2537	IFI6	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000126709	ENSG00000126709
VIR_M2	2537	IFI6	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000126709	ENSG00000126709
VIR_M1a	255231	MCOLN2	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000153898	ENSG00000153898
VIR_M1a	256987	SERINC5	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000164300	ENSG00000164300
BACT_M2	25880	TMEM186	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	TRUE	TRUE	TRUE	FALSE	ENSG00000184857	ENSG00000184857
VIR_M1b	26137	ZBTB20	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000181722	ENSG00000181722
VIR_M2	26137	ZBTB20	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000181722	ENSG00000181722
VIR_M1a	2625	GATA3	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000107485	ENSG00000107485
VIR_M2	2625	GATA3	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000107485	ENSG00000107485
VIR_M1a	2633	GBP1	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000117228	ENSG00000117228
VIR_M1a	2635	GBP3	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000117226	ENSG00000117226
VIR_M1a	27293	SMPDL3B	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000130768	ENSG00000130768
BACT_M2	284184	NDUFAF8	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	TRUE	TRUE	TRUE	FALSE	ENSG00000224877	ENSG00000224877
BACT_M1	28998	MRPL13	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	TRUE	TRUE	TRUE	FALSE	ENSG00000172172	ENSG00000172172
BACT_M1	29093	MRPL22	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	TRUE	TRUE	TRUE	FALSE	ENSG00000082515	ENSG00000082515
VIR_M2	29802	VPREB3	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000128218	ENSG00000128218
VIR_M2	29851	ICOS	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000163600	ENSG00000163600
VIR_M2	326	AIRE	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000160224	ENSG00000160224
VIR_M1a	3429	IFI27	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000165949	ENSG00000165949;ENSG00000275214
VIR_M1b	3429	IFI27	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000165949	ENSG00000165949;ENSG00000275214
VIR_M1a	3430	IFI35	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000068079	ENSG00000068079
VIR_M1a	3433	IFIT2	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000119922	ENSG00000119922
VIR_M1a	3434	IFIT1	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000185745	ENSG00000185745
VIR_M1b	3434	IFIT1	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000185745	ENSG00000185745
VIR_M1a	3437	IFIT3	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000119917	ENSG00000119917
