final_module_id	final_module_label	final_module_status	module_direction	module_direction_sign	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	primary_scoring_weight	optional_abs_logFC_weight	scoring_role	primary_scoring_rule	optional_sensitivity_rule
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	79132	DHX58		DExH-box helicase 58		-1.84855790663322	1.39039980281405e-19	-2.17584146994649	-1.51297901569597	Tier_1_cross_site_FDR05_direction_concordant	1	1.85841364048904	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	151636	DTX3L		deltex E3 ubiquitin ligase 3L		-1.16465957093574	1.47077952958203e-10	-1.59874070382945	-0.621752642954006	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.17086904629087	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	5610	EIF2AK2		eukaryotic translation initiation factor 2 alpha kinase 2		-1.41816802582432	1.31206652467218e-20	-1.74117673023092	-1.05000643348052	Tier_1_cross_site_FDR05_direction_concordant	1	1.4257291017177	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	23052	ENDOD1		endonuclease domain containing 1		-0.99055115856668	3.4456156222297e-10	-1.28613223278926	-0.6459763440849	Tier_1_cross_site_FDR05_direction_concordant	1	0.995832361040445	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	50943	FOXP3		forkhead box P3		-0.526469748056594	0.0271361176434387	-0.179702691407336	-1.09636833306266	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.529276663491252	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	2444	FRK		fyn related Src family tyrosine kinase		-0.352699632971503	0.0372002567335246	-0.417768980264756	-0.229326642816184	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.354580079183731	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	10146	G3BP1		G3BP stress granule assembly factor 1		-0.917104162086925	0.000148402121778711	-1.10153018921127	-0.824664200032906	Tier_1_cross_site_FDR05_direction_concordant	1	0.921993776043383	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	9908	G3BP2		G3BP stress granule assembly factor 2		-0.441023483149186	0.0194777740660047	-0.628476245058471	-0.265420579426172	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.443374835010271	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	2625	GATA3		GATA binding protein 3		-0.790109539037166	8.13884447375849e-06	-0.459440096955703	-1.32383337693448	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.794322071036166	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	2633	GBP1		guanylate binding protein 1		-1.11523582451266	4.18207444816114e-05	-1.39015107744705	-0.886121308673677	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.12118179322342	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	2635	GBP3		guanylate binding protein 3		-1.34798841146849	7.50944627541982e-08	-1.7136604956001	-0.935535366041534	Tier_1_cross_site_FDR05_direction_concordant	1	1.35517531915285	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
