base_sample_id	final_module_id	final_module_label	final_module_direction	module_score	matched_genes_n	locked_genes_n	coverage_fraction	sample_group	projection_role
DefiniteBacterial_21	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.136015884000339	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_22	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.13362592243534	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_23	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.704358939058801	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_24	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	1.67736421079051	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_25	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.02426066683295	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_26	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.0529314339932671	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_27	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.848310939354457	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_28	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.0194123944758964	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_29	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.601006156923868	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_30	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.0579897981035138	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_31	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.420815466300039	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_32	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.209071447424453	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_33	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.336533667775601	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_34	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.717600055244687	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_35	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.449562661752978	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_36	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.147855056501129	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_37	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.176165076788469	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_38	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.198121158750591	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_39	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.868640062513228	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_40	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.698732346881189	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_41	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.573863415483523	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_42	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-1.23673927977728	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_43	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.746120596430458	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_44	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.236350465922038	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_45	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.452963046918812	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_46	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.556215589747666	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_47	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.453787390650286	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_48	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0794729093822192	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_49	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0367492448582542	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_50	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.196254199607207	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_51	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.652637981864531	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_52	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.26208053125278	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteViral_01	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.815201315582698	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_02	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.703824256216417	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_03	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.698554772859614	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_04	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	2.92625597611234	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_05	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.385593476008024	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_06	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.222199928188614	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_07	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.80239232340851	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_08	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.19138604253049	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_09	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.554169966199529	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_10	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.755081056870563	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_11	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.186971526648032	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_12	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.165095056733279	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_13	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.51168746988026	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_14	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.45569736966017	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_15	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.190722739738329	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_16	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	2.52401416053602	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_17	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.390129109116407	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_18	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.032836529405422	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_19	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0740095797194215	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_20	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	1.23908488459945	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_21	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.513192390881923	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_22	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.182889522889153	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_23	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.280022963287046	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_24	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.451718901410932	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_25	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.653454720117363	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_26	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.446617072432781	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_27	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.194081060692304	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_28	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.585953015018641	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_29	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	2.2276457646156	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_30	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.385285895965733	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_31	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0484078757965752	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_32	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.713744429045083	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_33	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0163963273714485	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_34	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.730346071130411	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_35	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.885035624926711	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_36	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0296393712715476	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_37	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.60366158233459	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_38	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.763308761206513	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_39	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.832084663412302	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_40	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.961740257836946	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_41	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-1.07645363878792	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_42	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.675960580765626	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_43	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.870005934627515	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_44	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.304492825598999	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_45	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.616523518453397	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_46	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.73907393498796	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_47	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.397547076645719	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_48	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.284200297416595	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_49	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0167492242483551	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_50	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	3.00768507824557	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_51	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.118074567122613	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_52	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.233910654101276	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_53	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	1.58349085931942	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_54	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.00524212252888956	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_55	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	1.11644134796433	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_56	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.296221632965887	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_57	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.70573154663193	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_58	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.311376873793416	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_59	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.730149549813512	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_60	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.770335182139489	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_61	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.413731781429901	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_62	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.127034095745513	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_63	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.586187133501767	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_64	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.293647907611074	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_65	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.173089159156089	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_66	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.310570253807993	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_67	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.347882314775221	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_68	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.0914396442590188	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_69	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.196132069009509	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_70	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.00102578780309033	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_71	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.0628614497543626	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_72	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.585838999808114	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_73	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.231602803834691	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_74	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-1.05300999621684	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_75	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.390399522005141	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_76	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.434353099023581	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_77	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.562513668909045	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_78	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.932304005292995	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_79	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.546605437537095	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_80	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.928822456182703	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_81	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.331154244644507	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_82	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.235278172310589	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_83	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.451917522717884	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_84	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.350894465993693	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_85	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.27028032649645	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_86	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.73003818887607	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_87	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.587635166375048	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_88	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.665724558500025	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_89	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.588257173077634	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_90	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.83237215518547	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_91	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0356109183375901	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_92	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.737953144565844	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_93	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.612396133043318	24	25	0.96	DefiniteViral	primary_viral
DefiniteViral_94	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.88819549337287	24	25	0.96	DefiniteViral	primary_viral
Control_01	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	1.37479809920099	24	25	0.96	Control	secondary_control_context
Control_02	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.308399450770601	24	25	0.96	Control	secondary_control_context
Control_03	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	2.27576821925152	24	25	0.96	Control	secondary_control_context
Control_04	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.327376421737795	24	25	0.96	Control	secondary_control_context
Control_05	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.169875919364004	24	25	0.96	Control	secondary_control_context
Control_06	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.707860424877671	24	25	0.96	Control	secondary_control_context
Control_07	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.141202878190165	24	25	0.96	Control	secondary_control_context
Control_08	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.77530888602892	24	25	0.96	Control	secondary_control_context
Control_09	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.340607282223399	24	25	0.96	Control	secondary_control_context
Control_10	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.728200885372605	24	25	0.96	Control	secondary_control_context
Control_11	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.776596637115883	24	25	0.96	Control	secondary_control_context
Control_12	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.17884272709581	24	25	0.96	Control	secondary_control_context
Control_13	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.546542873359618	24	25	0.96	Control	secondary_control_context
