SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
ACBD6	ACBD6	84320	870349	ILMN_1684271	109.2424
ACBD7	ACBD7	414149	1410367	ILMN_2106002	5.329618
ACCS	ACCS	84680	3390379	ILMN_3187680	207.6524
ACCSL	ACCSL	390110	6130291	ILMN_1780630	-0.05229937
ACD	ACD	65057	1300154	ILMN_1716480	141.1353
ACE	ACE	1636	3830398	ILMN_1779984	-0.4971058
ACE2	ACE2	59272	7100468	ILMN_1667018	8.058234
ACER1	ACER1	125981	3360019	ILMN_3241214	2.326704
ACER2	ACER2	340485	520500	ILMN_3235340	49.74183
ACER3	ACER3	55331	1230017	ILMN_1812552	874.0971
ACHE	ACHE	43	1710500	ILMN_1780485	4.155247
ACIN1	ACIN1	22985	4860204	ILMN_1699636	514.1547
ACKR1	ACKR1	2532	50192	ILMN_1723684	51.3362
ACKR2	ACKR2	1238	460504	ILMN_1763127	9.124844
ACKR3	ACKR3	57007	450424	ILMN_1798360	98.97656
ACKR4	ACKR4	51554	1260138	ILMN_1698007	12.01257
ACLY	ACLY	47	4200259	ILMN_2371379	643.629
ACMSD	ACMSD	130013	7040450	ILMN_1727091	-7.611154
ACO1	ACO1	48	2450608	ILMN_1750800	201.5277
ACO2	ACO2	50	3930639	ILMN_1654861	98.96017
ACOT1	ACOT1	641371	4900438	ILMN_1715543	15.63679
ACOT11	ACOT11	26027	7400315	ILMN_2353978	13.1764
ACOT12	ACOT12	134526	2070181	ILMN_1785474	-4.291432
ACOT13	ACOT13	55856	1580427	ILMN_2098743	185.0313
ACOT2	ACOT2	10965	6290059	ILMN_1716237	34.39475
ACOT4	ACOT4	122970	4780709	ILMN_1764321	22.10313
ACOT6	ACOT6	641372	4920072	ILMN_2156699	0.2996615
ACOT7	ACOT7	11332	4290050	ILMN_1740265	314.7457
ACOT8	ACOT8	10005	2900291	ILMN_1679600	110.37
ACOT9	ACOT9	23597	7160592	ILMN_1658995	351.3665
ACOX1	ACOX1	51	1190327	ILMN_1750158	490.2097
ACOX2	ACOX2	8309	1010114	ILMN_1685703	11.7038
ACOX3	ACOX3	8310	4540010	ILMN_1743396	73.17982
ACP1	ACP1	52	6110672	ILMN_2344956	802.6028
ACP2	ACP2	53	2480025	ILMN_2104830	186.4243
ACP3	ACP3	55	2680725	ILMN_1758323	76.97514
ACP4	ACP4	93650	2690369	ILMN_1728331	43.08429
ACP5	ACP5	54	7050082	ILMN_2078599	231.2247
ACP6	ACP6	51205	4670671	ILMN_2234343	52.34218
ACP7	ACP7	390928	5910349	ILMN_2181432	319.9646
ACR	ACR	49	6900576	ILMN_1705637	6.732065
ACRBP	ACRBP	84519	7510253	ILMN_1784203	431.2118
ACRV1	ACRV1	56	2570576	ILMN_1654468	2.86096
ACSBG1	ACSBG1	23205	2480730	ILMN_2227011	30.14806
ACSBG2	ACSBG2	81616	1660376	ILMN_1730002	-5.984823
ACSF2	ACSF2	80221	2810253	ILMN_3236756	36.93699
ACSF3	ACSF3	197322	5820142	ILMN_1716832	19.12218
ACSL1	ACSL1	2180	1030431	ILMN_1684585	1871.672
ACSL3	ACSL3	2181	1580524	ILMN_2360705	355.3239
ACSL4	ACSL4	2182	7000307	ILMN_1683598	417.9252
ACSL5	ACSL5	51703	7040286	ILMN_1705247	560.8072
ACSL6	ACSL6	23305	1190746	ILMN_1737418	23.85607
ACSM1	ACSM1	116285	5870669	ILMN_1661434	-13.58793
ACSM2A	ACSM2A	123876	630228	ILMN_1657592	-5.289658
ACSM2B	ACSM2B	348158	4760202	ILMN_1746128	2.532048
ACSM3	ACSM3	6296	6580735	ILMN_1771084	30.02312
ACSM4	ACSM4	341392	6980181	ILMN_1791923	-1.84552
ACSM5	ACSM5	54988	5290612	ILMN_3219843	9.554903
ACSS1	ACSS1	84532	5220377	ILMN_1752269	392.8968
ACSS2	ACSS2	55902	4670544	ILMN_1714197	664.3676
ACSS3	ACSS3	79611	2810154	ILMN_1659885	14.10195
ACTA1	ACTA1	58	5080132	ILMN_2125869	-8.475064
ACTA2	ACTA2	59	6480059	ILMN_1671703	265.1367
ACTB	ACTB	60	4610390	ILMN_2152131	34435.33
ACTBL2	ACTBL2	345651	6100600	ILMN_3246895	-3.061791
ACTC1	ACTC1	70	4260201	ILMN_1658660	-2.536029
ACTE1P	ACTE1P	399923	4850474	ILMN_1789531	-18.77254
ACTG1	ACTG1	71	3310424	ILMN_2053178	21758.04
ACTG1P17	ACTG1P17	283693	2480286	ILMN_3274790	1619.816
ACTG1P20	ACTG1P20	644961	7610600	ILMN_3231927	12.03292
ACTG1P25	ACTG1P25	148709	7050767	ILMN_1680580	11.64722
ACTG1P4	ACTG1P4	648740	2690747	ILMN_3236904	202.7286
ACTG2	ACTG2	72	4610431	ILMN_1795325	-7.980147
ACTL10	ACTL10	170487	7400170	ILMN_1733531	25.93074
ACTL6A	ACTL6A	86	5080603	ILMN_1749297	352.5728
ACTL6B	ACTL6B	51412	5390008	ILMN_1657855	15.29588
ACTL7A	ACTL7A	10881	6960669	ILMN_1717900	-14.66271
ACTL7B	ACTL7B	10880	7550092	ILMN_1796088	-3.839155
ACTL8	ACTL8	81569	1450100	ILMN_1704078	3.564919
ACTL9	ACTL9	284382	4590184	ILMN_1656193	-14.54074
ACTMAP	ACTMAP	284325	650167	ILMN_1729546	66.06797
