feature_id	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_P.Value	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_P.Value	United_States_adj.P.Val	pooled_direction	Sri_Lanka_direction	United_States_direction	pooled_Sri_Lanka_concordant	pooled_United_States_concordant	Sri_Lanka_United_States_concordant	all_three_concordant
NM_012163	0.311940230130999	0.111670397725656	0.174258449135096	0.407779679267068	0.104451958317058	0.16698119219687	0.194360081647279	0.556523420185167	0.682657557185413	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012166	-0.277863227669334	0.205003840105323	0.28668427370578	0.123160052681876	0.686609143355672	0.756242948188137	-0.993097511924524	0.00090236009973633	0.00550685684164908	-1	1	-1	FALSE	TRUE	FALSE	FALSE
NM_012168	-0.149295435232214	0.562498346803252	0.645367703385821	0.634936073664953	0.0629290548866133	0.109274825794684	-1.21990611844505	0.00136985641986706	0.00752466456826125	-1	1	-1	FALSE	TRUE	FALSE	FALSE
NM_012170	0.118472015036595	0.609544300548509	0.686853530914448	0.103579892433591	0.738092428721757	0.79794099583796	0.0226686291595934	0.948937577170616	0.968156443517761	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012174	-0.628938760779784	7.48133342711461e-05	0.000355389993370226	-0.492915267516717	0.02378265396674	0.0483756404272614	-0.919291339094531	0.000140541566952658	0.00141336753428383	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012175	0.138729757415124	0.498284916470722	0.585533817762382	-0.219327325589268	0.436575784964491	0.535419091402763	0.594963823238275	0.0417083141504338	0.101450325309478	1	-1	1	FALSE	TRUE	FALSE	FALSE
NM_012176	-0.207594736605445	0.404325739924496	0.495989110761823	0.411980205435949	0.206837159086608	0.294164154784033	-1.15616248144994	0.00252829916580508	0.0119084915254206	-1	1	-1	FALSE	TRUE	FALSE	FALSE
NM_012177	-1.01837732653212	0.000895009405452604	0.00297556828551306	-0.541330227822547	0.171100640593686	0.251939457460839	-1.82069565457508	0.000173809007203553	0.00164472917722144	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012180	-0.719831207618983	0.000322074473362855	0.00124756292713224	-0.843084780344077	0.00158051729774399	0.00520137657356953	-0.570594231014629	0.0656927404847442	0.143192274327455	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012181	0.432180610773043	0.00943289923100193	0.0219563025745819	0.640320980551391	0.00317590606593818	0.00924391579285368	0.200795242526296	0.453982302519645	0.592946190444774	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012198	0.606847499235271	0.000275679525088296	0.00109131330606509	0.320337200237545	0.15219788454132	0.228205540031628	1.05691708967184	3.66269401773853e-05	0.000528557120956598	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012199	0.487344196445685	0.00608145150217438	0.0151630655269898	0.37057368286447	0.126417873701015	0.195275434938332	0.610310569899666	0.0211606615558337	0.0598592849998676	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012202	-0.994504643022487	0.00101615913965758	0.00331519847210635	-0.557734664371744	0.158418675986623	0.236187200019119	-1.81483636557169	0.000172575393204765	0.00163570392829483	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012204	-0.248626904215899	0.137998180604249	0.207163009600989	-0.31937410846332	0.158967565907374	0.236864278839336	-0.247540990574082	0.338682951288924	0.482396096867121	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012205	0.779435599172633	0.000450900238711069	0.001664984097855	0.731864817497521	0.0104019845212498	0.0244148938582365	0.982127528209759	0.00658924589618868	0.0245900967863179	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012210	-0.721573383129019	0.000406715824473269	0.0015254894549214	-0.288186953526639	0.279018538825337	0.375132219023053	-1.45588634800939	6.68610310338118e-06	0.000148305348257888	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012212	1.28632240712986	1.24517813786664e-05	7.53246145771171e-05	0.704770589431149	0.0635892725539882	0.110153474387805	2.27775859219951	1.82203865343189e-06	5.64579251402936e-05	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012216	-1.03969207950642	0.00014784869411936	0.000639175536898632	-0.944141152583703	0.00703530572439	0.0176558011271271	-1.29632912073444	0.00409245385896318	0.0171295489169955	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012219	0.280067297116885	0.214561378547129	0.297635639145733	0.228851950352448	0.437292550602254	0.536133749355963	0.422308694828209	0.246326225713321	0.382356270416075	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012224	-0.508030202868154	0.0203218894093354	0.0421245300888576	-0.595448391705979	0.0396257264093398	0.0742922004743965	-0.464223199785159	0.188885388271015	0.314924458527056	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012228	0.806703869342675	2.81647535174788e-08	3.56723816083634e-07	0.710356128849277	0.00032536241477112	0.00142072553122437	0.977832744714185	1.41415661812398e-05	0.000257128007074147	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012230	-0.119896034186998	0.425213541829488	0.517163587163472	0.0340918724154627	0.865903557731473	0.900625516942645	-0.345054427813276	0.149851950197207	0.265587482452494	-1	1	-1	FALSE	TRUE	FALSE	FALSE
NM_012232	0.656431819101507	0.0071923571401475	0.0174669035149739	0.593642926267985	0.0579031916967205	0.101928169240623	0.746893093351647	0.0648813841152425	0.141887676426543	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012234	-0.232819203846366	0.19834824066244	0.279074607078102	-0.532398019182441	0.0290982589559958	0.0572433681744009	0.185248897204433	0.498982710811017	0.633717865848068	-1	-1	1	TRUE	FALSE	FALSE	FALSE
NM_012236	-0.128694023147886	0.412769954151451	0.504737775180365	0.0810274170514606	0.69664979951106	0.7647126264022	-0.421171559801132	0.108821236292011	0.209469184912881	-1	1	-1	FALSE	TRUE	FALSE	FALSE
NM_012238	-0.672858182605438	0.00440133373552976	0.0115212399707932	-0.93085558839056	0.00210935828306915	0.00659656861659107	-0.39077134694824	0.310435000082654	0.453233287096876	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012240	-0.566235991168322	0.0476526385414196	0.086081213818973	-0.522716163273714	0.163841773901347	0.24282433942886	-0.704580809056067	0.119196672095044	0.224528044195986	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012243	-0.594126522212655	0.000159358483658361	0.000681421918897491	-0.640641993019998	0.00323752111110163	0.00937142635705913	-0.619573591050211	0.00823863863257957	0.0291111579799599	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012244	-1.32958789686082	7.90409136582055e-08	8.7563711322541e-07	-1.17264450869243	0.000350371318745438	0.00151471595408345	-1.73384055860189	1.21561854185831e-05	0.000230656121618827	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012249	0.261372623646038	0.102946532505305	0.16285508931136	0.161820784647417	0.446724609318578	0.545057746716929	0.420722429787327	0.100666583224252	0.197841096491924	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012250	-0.661240179718775	0.0170480877495053	0.0363132076794501	0.310487841908213	0.385590553303821	0.485897468628519	-2.14269659512718	3.72818963430071e-07	1.93401309740398e-05	-1	1	-1	FALSE	TRUE	FALSE	FALSE
NM_012252	-2.06817454495968	3.45236691735955e-11	9.02534457258479e-10	-2.72666511688632	7.47397376056278e-13	4.24636367151975e-11	-1.23457752467359	0.0206210690391304	0.0587428847795701	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012253	-0.475494753786296	0.0679131878627736	0.115640344322487	0.114390873398814	0.723847138108405	0.786879323532641	-1.35367516896968	0.00205096843956434	0.0100903610880313	-1	1	-1	FALSE	TRUE	FALSE	FALSE
NM_012254	0.543342481582686	0.0265292787153389	0.0524923275487827	1.52116982376917	1.89724267230316e-06	1.99910201282355e-05	-0.756452621728234	0.0403845068198312	0.0989645572711436	1	1	-1	TRUE	FALSE	FALSE	FALSE
NM_012255	0.731684723461451	4.10595355013261e-06	2.86897492106575e-05	0.374342591789697	0.0781802726434712	0.131179400335329	1.29448936080327	1.20708830852869e-07	8.77838512082377e-06	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012256	-0.323535764512641	0.0201869845109037	0.0418883070381368	-0.278459691324501	0.163854121073142	0.242824643745222	-0.477642823528888	0.0134469511637245	0.0424373641034127	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012257	-0.268064170436406	0.0758208088023551	0.126757123312327	-0.554993505945389	0.00708252470524259	0.017749800949893	0.126777463678645	0.578878984047347	0.700490155621885	-1	-1	1	TRUE	FALSE	FALSE	FALSE
NM_012261	-0.832853553811989	0.00111522092561214	0.00359209265442378	-0.793198630271645	0.0170402479580618	0.0368101014164266	-1.03393923081037	0.011298351556326	0.0371943593045208	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012262	0.698696016881749	0.00141619197657319	0.00440610195076031	0.570511222791645	0.0514201964345175	0.0922620230121941	0.967024584218475	0.00367506913432513	0.0157377057242005	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012263	0.304763887114516	0.0653878122377805	0.11214225683418	0.60007843918467	0.00869370867425612	0.0210314983732023	-0.126963170051117	0.603791394940295	0.721598189758035	1	1	-1	TRUE	FALSE	FALSE	FALSE
NM_012276	-1.13597526528814	4.8417778349135e-07	4.32087081304931e-06	-1.66849341816809	2.47876335398543e-08	5.04301000166375e-07	-0.404471908260489	0.236001129271396	0.370208375896042	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012282	0.828568538103904	0.00226928108588737	0.00656208103479778	0.546057808283019	0.140528223335282	0.213525599337662	1.31593224307673	0.000760806062696559	0.00484414399648217	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012283	1.21059678399501	0.00289228754066462	0.00804043070972362	0.833757148291744	0.106307196846091	0.169418888335722	1.87564207225632	0.00516106795569248	0.0204794043741853	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012284	1.44120376453336	2.0790294688519e-10	4.63528543451162e-09	1.78580666271005	3.68975108347816e-10	1.22576963319734e-08	1.06392572653703	0.00503109502501089	0.0200780289402752	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012286	-0.551645683132318	0.00065990233793337	0.00229521641459707	-0.772000958019088	0.00038575927139522	0.00163935394573587	-0.320306996648603	0.20943608152684	0.339370620195696	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012287	-0.069979960920582	0.704557203279033	0.767830407462822	-0.440691650875928	0.0786257399881379	0.131838364552928	0.428256667692709	0.115534881342223	0.219220312330467	-1	-1	1	TRUE	FALSE	FALSE	FALSE
NM_012290	-0.22444077287155	0.355605958346283	0.447393278873132	-0.599512102096486	0.0646648299402836	0.111687704808337	0.266106245692388	0.466155387950714	0.604189345665997	-1	-1	1	TRUE	FALSE	FALSE	FALSE
NM_012291	0.505088605369231	0.112986966986612	0.175969656005394	1.35488223130867	0.000803003842136562	0.00299111079137439	-0.690894663536583	0.17405573593441	0.296238320871456	1	1	-1	TRUE	FALSE	FALSE	FALSE
NM_012297	-0.377509128464776	0.0232419482952991	0.0470699467298923	-0.564834003970765	0.0119552937024079	0.0273844827344468	-0.198386976668501	0.435925462788536	0.577585353803361	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012307	-0.967882125388921	2.02074191527977e-06	1.5284726763873e-05	-1.38536513260987	3.6703725768596e-08	7.03101352151487e-07	-0.421016456543113	0.230257923923587	0.363336612004719	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012310	1.06250309014686	0.00230852533623661	0.00665919489389816	1.59448929476124	0.000383078676527787	0.00163212408433728	0.267482247804246	0.628108429355762	0.741137558480493	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012311	-0.0903249694929051	0.60045993398654	0.678528546716963	-0.573638416530914	0.0123241630723564	0.0281054359355452	0.620392555870038	0.0192630358591948	0.0558725821824565	-1	-1	1	TRUE	FALSE	FALSE	FALSE
NM_012312	-1.14815710237886	1.6703251686462e-05	9.67695047733353e-05	-0.708941797290937	0.042394968730089	0.078607174080572	-1.89046358186736	5.98112581739586e-06	0.000136392856581642	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012314	-1.07689065692751	0.000567227167370991	0.00202180653215033	-0.694808285303781	0.0808116571855149	0.134847920905558	-1.6796593372057	0.00097466018242465	0.00584272444316706	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012316	0.18992167902732	0.159180764514763	0.232793865413583	0.0506308986512957	0.78406809034802	0.835006003454393	0.343112676552033	0.0995515624950571	0.196208899018296	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012317	-0.0649485887212151	0.794276754986998	0.842338341932223	0.299756064078376	0.378097357090089	0.478731816678993	-0.636595309593655	0.075677701924051	0.159696007794102	-1	1	-1	FALSE	TRUE	FALSE	FALSE
