expression_sample_id	matched_geo_accessions	n_matched_geo_accessions	matched_metadata_fields	mapping_status
DU16-02S0004862	GSM6480159 | GSM6480159	1	title_contains	unique_metadata_match
DU16-02S0004812	GSM6480120 | GSM6480120	1	title_contains	unique_metadata_match
DU16-02S0004875	GSM6480167 | GSM6480167	1	title_contains	unique_metadata_match
DU16-02S0004788	GSM6480101 | GSM6480101	1	title_contains	unique_metadata_match
DU14-03S0000008	GSM6479986 | GSM6479986	1	title_contains	unique_metadata_match
DU09-03S0000015	GSM6479910 | GSM6479910	1	title_contains	unique_metadata_match
DU16-02S0004846	GSM6480147 | GSM6480147	1	title_contains	unique_metadata_match
DU16-02S0004802	GSM6480112 | GSM6480112	1	title_contains	unique_metadata_match
DU16-02S0004856	GSM6480153 | GSM6480153	1	title_contains	unique_metadata_match
DU16-02S0004781	GSM6480094 | GSM6480094	1	title_contains	unique_metadata_match
DU16-02S0004874	GSM6480166 | GSM6480166	1	title_contains	unique_metadata_match
DU09-03S0000025	GSM6479920 | GSM6479920	1	title_contains	unique_metadata_match
DU16-02S0004789	GSM6480102 | GSM6480102	1	title_contains	unique_metadata_match
DU10-01S0000024	GSM6479969 | GSM6479969	1	title_contains	unique_metadata_match
DU14-03S0000005	GSM6479983 | GSM6479983	1	title_contains	unique_metadata_match
DU16-02S0004820	GSM6480125 | GSM6480125	1	title_contains	unique_metadata_match
DU16-02S0004808	GSM6480118 | GSM6480118	1	title_contains	unique_metadata_match
DU16-02S0004774	GSM6480089 | GSM6480089	1	title_contains	unique_metadata_match
DU10-01S0000007	GSM6479953 | GSM6479953	1	title_contains	unique_metadata_match
DU16-02S0004783	GSM6480096 | GSM6480096	1	title_contains	unique_metadata_match
DU10-01S0000016	GSM6479962 | GSM6479962	1	title_contains	unique_metadata_match
DU10-01S0000015	GSM6479961 | GSM6479961	1	title_contains	unique_metadata_match
DU10-01S0000008	GSM6479954 | GSM6479954	1	title_contains	unique_metadata_match
DU09-03S0000003	GSM6479900 | GSM6479900	1	title_contains	unique_metadata_match
DU16-02S0004810	GSM6480119 | GSM6480119	1	title_contains	unique_metadata_match
DU10-01S0000001	GSM6479947 | GSM6479947	1	title_contains	unique_metadata_match
DU10-01S0000029	GSM6479974 | GSM6479974	1	title_contains	unique_metadata_match
DU09-03S0000026	GSM6479921 | GSM6479921	1	title_contains	unique_metadata_match
DU16-02S0004844	GSM6480145 | GSM6480145	1	title_contains	unique_metadata_match
DU10-01S0000031	GSM6479976 | GSM6479976	1	title_contains	unique_metadata_match
DU16-02S0004880	GSM6480172 | GSM6480172	1	title_contains	unique_metadata_match
DU16-02S0004859	GSM6480156 | GSM6480156	1	title_contains	unique_metadata_match
DU10-01S0000028	GSM6479973 | GSM6479973	1	title_contains	unique_metadata_match
DU16-02S0004784	GSM6480097 | GSM6480097	1	title_contains	unique_metadata_match
DU16-02S0004863	GSM6480160 | GSM6480160	1	title_contains	unique_metadata_match
DU09-03S0000008	GSM6479903 | GSM6479903	1	title_contains	unique_metadata_match
DU16-02S0004804	GSM6480114 | GSM6480114	1	title_contains	unique_metadata_match
DU16-02S0004798	GSM6480109 | GSM6480109	1	title_contains	unique_metadata_match
DU16-02S0004879	GSM6480171 | GSM6480171	1	title_contains	unique_metadata_match
DU14-03S0000013	GSM6479990 | GSM6479990	1	title_contains	unique_metadata_match
DU16-02S0004841	GSM6480142 | GSM6480142	1	title_contains	unique_metadata_match
DU09-03S0000035	GSM6479930 | GSM6479930	1	title_contains	unique_metadata_match
DU14-03S0000012	GSM6479989 | GSM6479989	1	title_contains	unique_metadata_match
DU16-02S0004785	GSM6480098 | GSM6480098	1	title_contains	unique_metadata_match
DU09-03S0000006	GSM6479902 | GSM6479902	1	title_contains	unique_metadata_match
DU10-01S0000009	GSM6479955 | GSM6479955	1	title_contains	unique_metadata_match
DU16-02S0004876	GSM6480168 | GSM6480168	1	title_contains	unique_metadata_match
DU16-02S0004877	GSM6480169 | GSM6480169	1	title_contains	unique_metadata_match
DU14-03S0000007	GSM6479985 | GSM6479985	1	title_contains	unique_metadata_match
DU16-02S0004839	GSM6480140 | GSM6480140	1	title_contains	unique_metadata_match
DU09-03S0000036	GSM6479931 | GSM6479931	1	title_contains	unique_metadata_match
DU16-02S0004823	GSM6480127 | GSM6480127	1	title_contains	unique_metadata_match
