direction_set	candidate_group_id	representative_GO	representative_TERM	representative_FDR	representative_enrichment_ratio	n_terms	n_FDR05_terms	n_unique_overlap_genes	group_GO_terms	group_terms	group_overlap_gene_ids	top_overlap_symbols
viral_higher_site_aware_eligible	Viral_higher_GO_group_08	GO:0060326	cell chemotaxis	0.00199381796006168	2.23195515066573	2	1	32	GO:0060326;GO:0019722	cell chemotaxis | calcium-mediated signaling	10803;11123;1131;1230;1232;1233;1234;1235;1236;1827;1839;2047;2214;2906;3576;4856;51176;5155;5159;552;5588;56477;57007;6348;643;64805;727;729230;9034;916;9451;9732	EPHB1;P2RY12;CCR1;CCR3;CCR9;GRIN2D;CCL28;C5;EIF2AK3;PDGFRB;CCR7;LEF1;RCAN3;PDGFB;CCRL2;PRKCQ;CCR6;CCR4;ACKR3;CCN3;CCR5;HBEGF;DOCK4;CXCL8;FCGR3A;CD3E;CXCR5;CCR2;CCL3;AVPR1A;RCAN1;CHRM3
viral_higher_site_aware_eligible	Viral_higher_GO_group_07	GO:0045071	negative regulation of viral genome replication	0.00199381796006168	2.39138051857043	1	1	18	GO:0045071	negative regulation of viral genome replication	10410;117854;200316;24138;3434;3669;4599;4938;4939;4940;5359;5610;56829;63901;64135;8638;91543;9636	IFIT1;OAS2;RSAD2;OAS3;MX1;OASL;ISG15;EIF2AK2;OAS1;IFIT5;IFIH1;TRIM6;PLSCR1;ISG20;ZC3HAV1;APOBEC3F;IFITM3;FAM111A
viral_higher_site_aware_eligible	Viral_higher_GO_group_09	GO:0006955	immune response	0.00649448127781313	1.48797010044382	1	1	70	GO:0006955	immune response	100132285;100507436;10225;10346;10410;10561;10803;10964;1230;1232;1233;1234;1235;1236;1240;1380;1514;1672;1880;2113;2206;2213;2214;2215;2537;29802;29851;326;355;3557;3559;3575;3600;3802;3806;3810;3811;3813;3976;4088;5167;5272;5295;5393;54900;55016;56477;57007;57105;5734;5996;643;654;657;6932;6938;7049;7292;729230;7293;8575;868;8743;8744;8763;9034;912;941;944;9966	IFI44L;IFI44;CMKLR1;LIF;DEFB1;TNFSF10;SMAD3;IL7R;TRIM22;TNFSF8;CCR1;CYSLTR2;IFI6;CCR3;CCR9;CD80;CCL28;IL1RN;CTSL;TCF7;CCR7;CD1D;ETS1;MARCHF1;LAX1;TCF12;FCGR2B;CCRL2;AIRE;CCR6;GPR183;MS4A2;IL15;RGS1;KIR2DS2;CCR4;KIR2DL1;BMP6;EXOSC9;KIR3DS1
viral_higher_site_aware_eligible	Viral_higher_GO_group_10	GO:0048167	regulation of synaptic plasticity	0.00723680667398763	2.47995016740637	1	1	14	GO:0048167	regulation of synaptic plasticity	10458;10769;1636;22849;2906;4130;4208;575;6343;7337;81539;84502;9693;9783	RIMS3;JPH4;GRIN2D;CPEB3;MEF2C;BAIAP2;SLC38A1;SCT;ACE;PLK2;RAPGEF2;MAP1A;UBE3A;ADGRB1
viral_higher_site_aware_eligible	Viral_higher_GO_group_12	GO:0045892	negative regulation of DNA-templated transcription	0.0320086764720266	1.3319081369253	1	1	99	GO:0045892	negative regulation of DNA-templated transcription	10009;10013;10140;10172;1028;10346;10514;10766;10771;11059;11244;117854;133522;1407;144165;147339;152485;163126;163255;1911;196;2004;2069;221937;22809;22893;23119;23411;23522;23598;253461;26013;2625;27250;2729;284252;29969;30812;4017;4194;4664;4824;4863;49854;50943;51001;51176;51193;51460;51535;5155;5371;54625;54880;55170;55922;56242;56981;57713;57786;58487;59348;605;6322;6427;64375;64750;6670;6932;7023;7067;7071;7089;7157;7290;7292;7293;7541;7559;7572;7750;7767;80012;81606;83852;84524;84864;8553;860;8726;9044;91748;9252;9314;952;9575;9580;9975;9994	HIRA;TRIM6;TRIM22;SFMBT2;BAHD1;ARK2N;PRICKLE1;PML;PARP14;WWP1;ZNF256;KCTD1;ATF5;ZNF224;PHC1;TCF7;PATZ1;NR1D2;TOB2;LEF1;MDFIC;ZNF350;ZBTB38;HIC2;PDGFB;GATA3;LBH;SOX8;SETDB2;MDM4;ZBTB14;BCOR;CD38;ZNF253;CLOCK;SCML1;ZNF540;TOB1;PRDM11;ZBTB21
viral_higher_site_aware_eligible	Viral_higher_GO_group_11	GO:0006338	chromatin remodeling	0.0320086764720266	1.42419995328194	1	1	67	GO:0006338	chromatin remodeling	1017;10514;10600;10782;10847;1105;11168;114803;114825;152485;1859;1911;196528;2074;221037;22880;22890;23081;23132;23451;23506;23774;25862;2625;29994;3662;399818;4609;50943;51322;54880;54891;55170;55209;55689;56916;56950;57325;57492;57708;58508;605;6304;64769;648;6596;675;6871;6872;7290;7403;7528;7799;7913;80205;8202;8320;84678;84864;8726;8850;9044;91607;9188;9252;9575;9730	HIRA;BRCA2;KDM2B;KDM6A;ZNF274;PHC1;MYC;DCAF1;SLFN11;GATA3;BMI1;KDM4C;RAD54L2;BCOR;CLOCK;SATB1;ERCC6;BRD1;IRF4;ZBTB1;ZNF827;TAF1;SMARCAD1;ARID1B;BCL7A;RPS6KA5;YEATS2;JMJD1C;BAZ2B;MYSM1;DYRK1A;KAT2B;PWWP2A;WAC;SRCAP;CHD1;INO80D;BICRAL;CHD9;SMYD2
viral_higher_site_aware_eligible	Viral_higher_GO_group_13	GO:0032092	positive regulation of protein binding	0.0320086764720266	2.17398228960948	1	1	15	GO:0032092	positive regulation of protein binding	119;151636;2035;23032;25805;51068;640;65981;6789;6872;7074;7122;8767;9026;9693	DTX3L;EPB41;CAPRIN2;CLDN5;TIAM1;TAF1;NMD3;STK4;ADD2;HIP1R;USP33;BAMBI;RIPK2;RAPGEF2;BLK
viral_higher_site_aware_eligible	Viral_higher_GO_group_15	GO:0001756	somitogenesis	0.0320086764720266	2.30281086973449	1	1	13	GO:0001756	somitogenesis	2296;23509;28514;3955;4088;4824;51176;56983;57534;657;7157;79728;8313	SMAD3;DLL1;AXIN2;LEF1;FOXC1;POGLUT1;BMPR1A;NKX3-1;PALB2;LFNG;POFUT1;MIB1;TP53
viral_higher_site_aware_eligible	Viral_higher_GO_group_14	GO:0042113	B cell activation	0.0320086764720266	2.39138051857043	1	1	12	GO:0042113	B cell activation	10125;10892;200081;2048;23308;54900;55024;643;841;931;958;973	EPHB2;MS4A1;ICOSLG;LAX1;RASGRP1;BANK1;MALT1;CASP8;CD79A;TXLNA;CXCR5;CD40
viral_higher_site_aware_eligible	Viral_higher_GO_group_16	GO:0009617	response to bacterium	0.0382495260606908	1.76385513426471	1	1	26	GO:0009617	response to bacterium	10561;11145;11274;1233;161145;1672;1675;2213;225;22806;51752;55008;55024;55026;55125;55603;5618;5996;629;6347;717;7429;79132;8029;8976;931	USP18;HERC6;CCL2;TMEM255A;IFI44;DHX58;TENT5A;DEFB1;PRLR;TMEM229B;MS4A1;C2;CFB;ERAP1;FCGR2B;CEP192;RGS1;CCR4;CUBN;BANK1;IKZF3;WASL;ABCD2;VIL1;PLAAT3;CFD
viral_higher_site_aware_eligible	Viral_higher_GO_group_18	GO:0006468	protein phosphorylation	0.0488492575956944	1.36650315346882	1	1	75	GO:0006468	protein phosphorylation	10000;1017;1021;1024;102724428;10769;11040;11183;1385;1452;1454;150094;157285;1612;1859;2043;2047;2048;2064;2241;22858;23043;23178;23515;23683;2444;2869;3486;3702;4058;4214;4638;4750;4752;5128;5129;51422;5155;5166;51701;51765;545;54861;5567;5581;5583;5586;5588;5610;57600;6347;640;6446;657;659;6714;6787;6789;6872;7294;7444;814;817;8445;84451;8491;8536;8814;90;9113;92;9252;93;9451;9578	CCL2;EPHB2;EIF2AK2;CDK18;PRKAG2;EPHB1;BMPR2;SRC;LOC102724428;GRK5;CDK17;SIK1;AKT3;PRKCE;PRAG1;NEK3;TXK;ITK;TNIK;ERBB2;EPHA4;IGFBP3;EIF2AK3;FER;ACVR1;FNIP2;PDGFB;MYLK;PRKACB;ATR;PRKCH;PRKCQ;ACVR2A;PRKD3;SGK1;TAF1;PKN2;PDK4;VRK2;CDKL1
viral_higher_site_aware_eligible	Viral_higher_GO_group_17	GO:0030890	positive regulation of B cell proliferation	0.0488492575956944	2.0406447091801	1	1	16	GO:0030890	positive regulation of B cell proliferation	1026;10673;115352;115650;1880;2048;23529;4208;4773;5618;57162;596;648;7293;952;958	EPHB2;CDKN1A;BCL2;PRLR;MEF2C;BMI1;PELI1;CLCF1;GPR183;CD38;TNFRSF13C;TNFSF13B;NFATC2;FCRL3;TNFRSF4;CD40
viral_higher_site_aware_eligible	Viral_higher_GO_group_19	GO:0060907	positive regulation of macrophage cytokine production	0.0488492575956944	2.60877874753138	1	1	9	GO:0060907	positive regulation of macrophage cytokine production	10417;23411;24145;5027;51284;64127;64170;7098;8767	TLR7;TLR3;PANX1;P2RX7;NOD2;SIRT1;SPON2;RIPK2;CARD9
viral_higher_site_aware_eligible	Viral_higher_GO_group_20	GO:0032728	positive regulation of interferon-beta production	0.0491994054048423	2.1256715720626	1	1	14	GO:0032728	positive regulation of interferon-beta production	1654;23586;26137;3665;4938;4939;4940;51284;5781;64135;7098;8767;9636;9868	OAS2;OAS3;ISG15;OAS1;TLR7;RIGI;IFIH1;IRF7;TLR3;DDX3X;ZBTB20;TOMM70;RIPK2;PTPN11
viral_higher_site_aware_eligible	Viral_higher_GO_group_21	GO:0060337	type I interferon-mediated signaling pathway	0.0491994054048423	2.45269796776454	1	1	10	GO:0060337	type I interferon-mediated signaling pathway	10010;10410;11277;3429;3665;4939;64135;64343;6772;6773	IFI27;OAS2;IFIH1;TREX1;IRF7;STAT2;STAT1;AZI2;TANK;IFITM3
viral_higher_site_aware_eligible	Viral_higher_GO_group_22	GO:0030509	BMP signaling pathway	0.0543629076256934	1.91310441485634	1	0	18	GO:0030509	BMP signaling pathway	1386;1958;23111;27250;285704;3096;51176;55512;644815;654;657;659;7049;860;90;92;9241;93	BMPR2;SMPD3;RGMB;LEF1;ACVR1;ACVR2A;SPART;HIVEP1;BMP6;RUNX2;PDCD4;EGR1;BMPR1A;TGFBR3;ACVR2B;ATF2;FAM83G;NOG
viral_higher_site_aware_eligible	Viral_higher_GO_group_23	GO:0030183	B cell differentiation	0.0731392646797722	1.83580726678134	1	0	19	GO:0030183	B cell differentiation	10673;1316;1380;22806;22890;23529;29760;3676;3688;4436;5079;5295;6670;7163;7528;931;959;973;9730	BLNK;PAX5;KLF6;MS4A1;DCAF1;ITGA4;CLCF1;CD40LG;ZBTB1;CR2;TNFSF13B;PIK3R1;IKZF3;CD79A;TPD52;YY1;MSH2;ITGB1;SP3
viral_higher_site_aware_eligible	Viral_higher_GO_group_27	GO:0006366	transcription by RNA polymerase II	0.0805857947575052	1.44932152640632	1	0	45	GO:0006366	transcription by RNA polymerase II	10379;2074;22885;2353;2354;25850;26015;2624;2625;27097;27316;2960;2969;3164;326;342371;4094;4773;4784;4799;5079;50943;51176;51513;51742;5295;6239;64919;6872;6874;6908;7067;7700;7913;80237;8464;8848;9015;905;9188;9314;940;94104;9477;9603	TSC22D1;PAX5;NFX1;GATA2;TAF5L;LEF1;FOS;GATA3;ETV7;AIRE;BCL11B;MAF;ERCC6;TAF1;TAF1A;GTF2E1;THRA;ZNF345;ZNF141;ATXN1L;ELL3;PIK3R1;NFE2L3;NFATC2;RPAP1;CD28;KLF4;GTF2I;RBMX;NR4A1;FOSB;RREB1;MED20;NFIX;ABLIM3;CCNT2;DDX21;SUPT3H;PAXBP1;TAF4
viral_higher_site_aware_eligible	Viral_higher_GO_group_26	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	0.0805857947575052	1.51249708012147	1	0	37	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	10346;10475;10769;10892;10913;11040;11043;117854;1236;222643;22954;23118;24138;257397;27032;329;330;353376;356;3965;51523;5581;57161;57162;57708;64127;64170;64581;7098;841;843;84851;85363;8743;8767;9188;958	TRIM5;IFIT5;TNFSF10;TLR3;TRIM6;TRIM22;TRIM38;PRKCE;CASP10;CLEC7A;BIRC3;CCR7;LGALS9;TAB2;FASLG;PELI1;EDAR;MALT1;TAB3;NOD2;MID2;CASP8;PIM2;TRIM32;PELI2;PLK2;TRIM52;BIRC2;TICAM2;UNC5CL;RIPK2;DDX21;MIER1;CD40;ATP2C1;CXXC5;CARD9
viral_higher_site_aware_eligible	Viral_higher_GO_group_24	GO:0030501	positive regulation of bone mineralization	0.0805857947575052	2.07252978276104	1	0	13	GO:0030501	positive regulation of bone mineralization	196527;4088;4208;490;5027;55603;654;657;659;90;92;93;9636	ISG15;TENT5A;SMAD3;BMPR2;P2RX7;MEF2C;ACVR1;ACVR2A;ATP2B1;ANO6;BMP6;BMPR1A;ACVR2B
viral_higher_site_aware_eligible	Viral_higher_GO_group_25	GO:0070371	ERK1 and ERK2 cascade	0.0805857947575052	2.07252978276104	1	0	13	GO:0070371	ERK1 and ERK2 cascade	10385;1847;1848;1849;1950;201163;3965;4609;5734;64127;678;8767;8820	HESX1;BTN2A2;FLCN;DUSP5;DUSP6;ZFP36L2;MYC;LGALS9;EGF;PTGER4;NOD2;DUSP7;RIPK2
viral_higher_site_aware_eligible	Viral_higher_GO_group_29	GO:0045945	positive regulation of transcription by RNA polymerase III	0.0805857947575052	2.55080588647512	2	0	13	GO:0045945;GO:0045943	positive regulation of transcription by RNA polymerase III | positive regulation of transcription by RNA polymerase I	10514;2064;2074;23160;23379;23451;7913;79664;84128;84135;84524;9188;9451	ERBB2;ICE2;EIF2AK3;ERCC6;ICE1;ZC3H8;WDR75;MYBBP1A;DDX21;WDR43;SF3B1;UTP15;DEK
viral_higher_site_aware_eligible	Viral_higher_GO_group_28	GO:0032743	positive regulation of interleukin-2 production	0.0805857947575052	2.1256715720626	1	0	12	GO:0032743	positive regulation of interleukin-2 production	10892;3662;5142;5588;64581;6711;729230;8767;916;9308;940;941	CD83;CD80;CLEC7A;PDE4B;PRKCQ;IRF4;MALT1;CD28;CD3E;RIPK2;CCR2;SPTBN1
viral_higher_site_aware_eligible	Viral_higher_GO_group_30	GO:0007165	signal transduction	0.0872700155203237	1.2012516093284	1	0	162	GO:0007165	signal transduction	10000;10010;10125;10142;10144;1017;1021;10447;10666;10673;11059;11216;1124;1131;114822;115;116984;117289;1185;1235;128178;131450;1385;1389;1390;140;143872;1452;1454;1456;152189;162998;1808;1839;2004;201176;2017;2064;219790;2213;22858;23035;23308;23380;23507;2359;23607;246778;2549;261734;2625;2767;283349;285704;288;30812;3164;322;338811;340542;3487;355;3557;356;3560;3568;3575;3576;3600;3627;3667;3702;3708;375704;375790;3805;388;3959;401124;4049;4058;4192;4306;4599;4739;4856;50852;51306;5140;5142;5151;5159;5565;5567;558;5581;5583;5586;55914;5612;56477;575;57636;5797;5912;5996;6198;6259;6343;6347;6355;6373;6374;6654;6714;6789;7089;7098;7130;7292;734;7410;7444;7913;814;83937;84451;8473;84941;8506;8536;8550;8654;868;8718;8743;8744;8763;8767;8797;8800;8821;8911;9047;9231;9258;93;9308;9392;94134;944;952;9575;9578;9590;9610;9618;9706;9754;9966;9984;9994	CCL2;AGRN;AXL;CCL8;MX1;FPR3;HSH2D;SRGAP2;LGALS3BP;TNFSF10;TLR3;IL7R;CD2AP;ADCY9;SRC;CD83;TNFSF8;MDK;CXCL10;TAGAP;AKT3;PRKCE;NR3C2;CXCL11;IRS1;WWP1;ITK;ICOSLG;CCL28;PDE8A;CREM;RGMB;CD226;ERBB2;CLCN6;IL1RN;RTKN2;ARHGAP23;PDGFRB;EDARADD
viral_higher_site_aware_eligible	Viral_higher_GO_group_31	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	0.0872700155203237	1.78181293540542	1	0	19	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	10385;11126;201163;2064;2214;2625;3667;375033;4824;5287;5295;55024;55512;558;59338;6198;84830;940;958	AXL;BTN2A2;FLCN;IRS1;SMPD3;ERBB2;PEAR1;PLEKHA1;GATA3;BANK1;PIK3R1;PIK3C2B;CD28;CD160;ADTRP;FCGR3A;NKX3-1;RPS6KB1;CD40
