ENTREZID	SYMBOL	GENENAME	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	recommended_use	direction_set	candidate_group_id	representative_GO	representative_TERM
4724	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4	0.688832203336287	0.00111912727923689	0.830491122962114	0.515053945104625	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
55471	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	0.580424098358827	0.00120247288716524	0.61805690113816	0.51760975827121	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
25880	TMEM186	transmembrane protein 186	0.552760305913266	0.00135830443036077	0.879035667586107	0.15458106625207	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
113115	MTFR2	mitochondrial fission regulator 2	0.90526410150697	0.00136542979637154	1.32495799661447	0.283629656930538	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
84233	TMEM126A	transmembrane protein 126A	0.692007641497845	0.00297556828551306	0.933753992189987	0.382266841751438	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
137682	NDUFAF6	NADH:ubiquinone oxidoreductase complex assembly factor 6	-0.724220963534201	0.00299997132490686	-0.659524331342295	-0.94682931807158	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
847	CAT	catalase	0.546611511781923	0.00338050113395296	0.220512598721183	1.03226726442018	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
9016	SLC25A14	solute carrier family 25 member 14	0.532063697195929	0.00548107178909845	0.841979016765444	0.0552508071749986	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
4731	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	0.639635215949223	0.0192210448515391	0.706815816899603	0.542682359672071	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly
8870	IER3	immediate early response 3	0.934440981753567	4.9794017697413e-09	0.676653725564919	1.37684130040036	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_04	GO:0006096	glycolytic process
5236	PGM1	phosphoglucomutase 1	0.890656123047674	5.30675050745987e-08	0.881220327383022	0.926817906156622	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_04	GO:0006096	glycolytic process
226	ALDOA	aldolase, fructose-bisphosphate A	0.935406400806275	1.24672433887079e-06	0.867037449450881	1.04242385622904	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_04	GO:0006096	glycolytic process
2821	GPI	glucose-6-phosphate isomerase	0.832026441292467	1.78115164999006e-06	0.966783375168064	0.629335443209158	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_04	GO:0006096	glycolytic process
5208	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	1.53451196604776	6.7166635430569e-06	1.22501723365324	1.96075463784791	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_04	GO:0006096	glycolytic process
2027	ENO3	enolase 3	0.693082530543467	0.000539515348315933	0.985009029753776	0.308532808521553	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_04	GO:0006096	glycolytic process
5224	PGAM2	phosphoglycerate mutase 2	1.05499954948852	0.00186266438200223	1.57930653856922	0.423021264591956	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_04	GO:0006096	glycolytic process
3429	IFI27	interferon alpha inducible protein 27	-4.76772856416775	2.51896266086772e-33	-5.43444150089658	-4.14967904484638	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
8820	HESX1	HESX homeobox 1	-4.47641215852795	4.18673689326864e-23	-5.1329213916276	-3.85586527952833	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
127396	ZNF684	zinc finger protein 684	-2.9468886322348	7.44030470395795e-18	-3.35015500553508	-2.55847400019616	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
3665	IRF7	interferon regulatory factor 7	-1.45404953351808	1.6567768830903e-13	-1.8398718883554	-1.01060762204544	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
4088	SMAD3	SMAD family member 3	-1.21900463571384	2.13121705600754e-13	-1.22818872347868	-1.3593384595316	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
5079	PAX5	paired box 5	-1.33694228288494	4.12064920883797e-12	-1.41915447324594	-1.28456012921223	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
