GO	TERM	query_genes	universe_genes	term_genes_in_universe	overlap_genes	p_value	overlap_gene_ids	p_adj_BH	gene_ratio	background_ratio	enrichment_ratio	direction_set	overlap_symbols
GO:0007249	canonical NF-kappaB signal transduction	1479	9100	27	1	0.991740618794391	92610	1	0.000676132521974307	0.00296703296703297	0.2278817018506	bacterial_higher_site_aware_eligible	TIFA
GO:0097191	extrinsic apoptotic signaling pathway	1479	9100	27	1	0.991740618794391	3856	1	0.000676132521974307	0.00296703296703297	0.2278817018506	bacterial_higher_site_aware_eligible	KRT8
GO:0001817	regulation of cytokine production	1479	9100	40	2	0.992818900796691	4057;604	1	0.00135226504394861	0.0043956043956044	0.30764029749831	bacterial_higher_site_aware_eligible	LTF;BCL6
GO:0006275	regulation of DNA replication	1479	9100	28	1	0.993086989873758	84289	1	0.000676132521974307	0.00307692307692308	0.21974306964165	bacterial_higher_site_aware_eligible	ING5
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	1479	9100	28	1	0.993086989873758	1241	1	0.000676132521974307	0.00307692307692308	0.21974306964165	bacterial_higher_site_aware_eligible	LTB4R
GO:0032880	regulation of protein localization	1479	9100	28	1	0.993086989873758	7428	1	0.000676132521974307	0.00307692307692308	0.21974306964165	bacterial_higher_site_aware_eligible	VHL
GO:0060261	positive regulation of transcription initiation by RNA polymerase II	1479	9100	28	1	0.993086989873758	51003	1	0.000676132521974307	0.00307692307692308	0.21974306964165	bacterial_higher_site_aware_eligible	MED31
GO:0051607	defense response to virus	1479	9100	114	10	0.993220988865069	10621;1667;1668;171389;22900;3687;4283;54512;5611;728358	1	0.00676132521974307	0.0125274725274725	0.539719820172473	bacterial_higher_site_aware_eligible	POLR3F;DEFA1;DEFA3;NLRP6;CARD8;ITGAX;CXCL9;EXOSC4;DNAJC3;DEFA1B
GO:0007517	muscle organ development	1479	9100	41	2	0.993857304220469	10791;3679	1	0.00135226504394861	0.00450549450549451	0.300136875608107	bacterial_higher_site_aware_eligible	VAMP5;ITGA7
GO:0009952	anterior/posterior pattern specification	1479	9100	29	1	0.994214011696588	55502	1	0.000676132521974307	0.00318681318681319	0.212165722412627	bacterial_higher_site_aware_eligible	HES6
GO:0051056	regulation of small GTPase mediated signal transduction	1479	9100	53	3	0.994867618657891	58480;5909;84986	1	0.00202839756592292	0.00582417582417582	0.348272034903747	bacterial_higher_site_aware_eligible	RHOU;RAP1GAP;ARHGAP19
GO:0002931	response to ischemia	1479	9100	30	1	0.995157400154392	56666	1	0.000676132521974307	0.0032967032967033	0.20509353166554	bacterial_higher_site_aware_eligible	PANX2
GO:0051301	cell division	1479	9100	191	19	0.995677245140262	10388;1062;1069;11065;22924;256126;25906;286053;29899;348235;387103;387893;53918;54478;79023;79187;84552;84722;90417	1	0.0128465179175118	0.020989010989011	0.612059230624909	bacterial_higher_site_aware_eligible	SYCP2;CENPE;CETN2;UBE2C;MAPRE3;SYCE2;ANAPC15;NSMCE2;GPSM2;SKA2;CENPW;KMT5A;PELO;PIMREG;NUP37;FSD1;PARD6G;PSRC1;KNSTRN
GO:0010508	positive regulation of autophagy	1479	9100	32	1	0.996608024847618	258010	1	0.000676132521974307	0.00351648351648352	0.192275185936444	bacterial_higher_site_aware_eligible	SVIP
GO:0001666	response to hypoxia	1479	9100	56	3	0.996675483612056	212;6648;847	1	0.00202839756592292	0.00615384615384615	0.329614604462475	bacterial_higher_site_aware_eligible	ALAS2;SOD2;CAT
GO:0030168	platelet activation	1479	9100	33	1	0.997161259436322	1432	1	0.000676132521974307	0.00362637362637363	0.186448665150491	bacterial_higher_site_aware_eligible	MAPK14
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	1479	9100	36	1	0.998336247161808	255488	1	0.000676132521974307	0.00395604395604396	0.17091127638795	bacterial_higher_site_aware_eligible	RNF144B
GO:0006468	protein phosphorylation	1479	9100	175	15	0.999042074904882	11213;132158;2049;23604;3718;374872;3985;5163;5165;51776;5261;56975;660;79924;9212	1	0.0101419878296146	0.0192307692307692	0.527383367139959	bacterial_higher_site_aware_eligible	IRAK3;GLYCTK;EPHB3;DAPK2;JAK3;PEAK3;LIMK2;PDK1;PDK3;MAP3K20;PHKG2;FAM20C;BMX;ADM2;AURKB
GO:0060070	canonical Wnt signaling pathway	1479	9100	40	1	0.999184215424178	7482	1	0.000676132521974307	0.0043956043956044	0.153820148749155	bacterial_higher_site_aware_eligible	WNT2B
GO:0001701	in utero embryonic development	1479	9100	87	5	0.999220330372447	2821;284;51733;5723;8531	1	0.00338066260987153	0.00956043956043956	0.353609537354379	bacterial_higher_site_aware_eligible	GPI;ANGPT1;UPB1;PSPH;YBX3
GO:0006260	DNA replication	1479	9100	54	2	0.999224112149617	641;9768	1	0.00135226504394861	0.00593406593406593	0.2278817018506	bacterial_higher_site_aware_eligible	BLM;PCLAF
GO:0070098	chemokine-mediated signaling pathway	1479	9100	41	1	0.999317388204271	4283	1	0.000676132521974307	0.00450549450549451	0.150068437804054	bacterial_higher_site_aware_eligible	CXCL9
GO:0006302	double-strand break repair	1479	9100	42	1	0.999428833490272	54969	1	0.000676132521974307	0.00461538461538462	0.1464953797611	bacterial_higher_site_aware_eligible	HPF1
GO:0016567	protein ubiquitination	1479	9100	206	18	0.999476857293258	11065;130507;140460;171222;221687;23327;255488;4734;51003;51257;55975;7311;7428;7874;81786;89910;9021;9616	1	0.0121703853955375	0.0226373626373626	0.537623820870833	bacterial_higher_site_aware_eligible	UBE2C;UBR3;ASB7;UBE2L5;RNF182;NEDD4L;RNF144B;NEDD4;MED31;MARCHF2;KLHL7;UBA52;VHL;USP7;TRIM7;UBE3B;SOCS3;RNF7
GO:0045892	negative regulation of DNA-templated transcription	1479	9100	237	21	0.999716598598416	10320;10409;10438;124359;155054;1602;23349;3148;3191;387893;51222;5204;5468;55635;55915;57616;604;6310;84225;84662;8861	1	0.0141987829614604	0.026043956043956	0.545185337338777	bacterial_higher_site_aware_eligible	IKZF1;BASP1;C1D;CDYL2;ZNF425;DACH1;PHF24;HMGB2;HNRNPL;KMT5A;ZNF219;PFDN5;PPARG;DEPDC1;LANCL2;TSHZ3;BCL6;ATXN1;ZMYND15;GLIS2;LDB1
