base_sample_id	sample_group	projection_role	BACT_M1	BACT_M2	VIR_M1a	VIR_M1b	VIR_M2
DefiniteViral_20	DefiniteViral	primary_viral	1.2482505466696	1.37891567458062	0.644192962126701	0.501528970920516	0.542517262076997
DefiniteViral_21	DefiniteViral	primary_viral	-0.532014820851803	0.0129995863825329	1.47190641767264	2.05499880762127	0.737595156524555
DefiniteViral_22	DefiniteViral	primary_viral	-0.181430090219399	-0.148198120370165	0.421851328710811	0.507933091316489	0.233053909512236
DefiniteViral_23	DefiniteViral	primary_viral	0.283430765788693	0.586015844883312	0.679662899288251	0.645133437494199	0.8783398690821
DefiniteViral_24	DefiniteViral	primary_viral	-0.47120293714718	-0.50661291967123	0.0507821177090979	0.346550690478953	-0.0718361983607383
DefiniteViral_25	DefiniteViral	primary_viral	-0.665135201348258	-0.933288956038002	-0.282542472715572	0.115644042278416	-0.427750545348763
DefiniteViral_26	DefiniteViral	primary_viral	0.48171758851042	0.565501281656317	0.103302279017089	0.0943684962336635	0.208796485906442
DefiniteViral_27	DefiniteViral	primary_viral	-0.178190944890041	-0.548469581774096	-0.580905241679675	-0.81660873215716	-0.466916286350302
DefiniteViral_28	DefiniteViral	primary_viral	-0.605408461092157	-0.046522621878821	-0.139985438126187	-0.467890890863744	-0.0872854008454766
DefiniteViral_29	DefiniteViral	primary_viral	2.34724254942131	1.11649642486849	0.756509022296417	0.63582654359092	0.832597207631099
DefiniteViral_30	DefiniteViral	primary_viral	-0.403927910043124	-0.036378306568031	0.312272031364894	0.350682751355782	0.161988673019142
DefiniteViral_31	DefiniteViral	primary_viral	0.04356670343314	0.551284402336482	0.837946742764975	0.783532434547003	0.761289676079723
DefiniteViral_32	DefiniteViral	primary_viral	-0.739506017352989	-0.156199982736053	1.5521409113658	1.89126576982633	0.882044720144274
DefiniteViral_33	DefiniteViral	primary_viral	0.037045870646355	0.132712613800261	-0.28277924724521	-0.249976823754967	-0.202296022372478
DefiniteViral_34	DefiniteViral	primary_viral	0.759280391284213	0.909840456544409	1.08462883119517	0.926026509328619	1.19655146570935
DefiniteViral_35	DefiniteViral	primary_viral	-0.912621643359946	-0.682662146729348	0.33519139883912	0.270993541865929	0.342252251764832
DefiniteViral_36	DefiniteViral	primary_viral	0.0567399696840342	-0.289912646848339	0.871338336722527	1.33091345634451	0.382662209006124
DefiniteViral_37	DefiniteViral	primary_viral	-0.617651474157361	-0.326836827560692	0.856996599421423	1.42345862941781	0.423557691230727
DefiniteViral_38	DefiniteViral	primary_viral	-0.78841239934782	-0.614355919957431	0.430137551220431	0.830029507639264	0.111449111676278
DefiniteViral_39	DefiniteViral	primary_viral	0.871391724270404	0.79837221057615	0.43969821767937	0.324075006759169	0.286090453381501
DefiniteViral_40	DefiniteViral	primary_viral	-0.992196077646882	-0.916187324689681	0.0806723914585689	0.341193953566186	-0.143666314671675
DefiniteViral_41	DefiniteViral	primary_viral	-1.1050917257239	-0.941837499492153	0.662862143256275	1.36094580050558	-0.0218138948666288
DefiniteViral_42	DefiniteViral	primary_viral	-0.690752602169326	-0.618246663827602	0.168732899898023	0.352387092133086	-0.0197391867330989
DefiniteViral_43	DefiniteViral	primary_viral	-0.895219467333693	-1.01357656506381	-0.078133075853087	0.212315539019913	-0.48505195903294
DefiniteViral_44	DefiniteViral	primary_viral	-0.308231643712567	-0.174368665064952	0.929315688468419	1.54267391264489	0.462857188923167
DefiniteViral_45	DefiniteViral	primary_viral	0.65436880445452	0.523613877985351	0.41797765186682	0.410607535252798	0.646807614466175
DefiniteViral_46	DefiniteViral	primary_viral	0.778269837647342	0.831168971373302	0.520772300990597	0.505227791563052	0.408749136175974
DefiniteViral_47	DefiniteViral	primary_viral	0.408804708279062	0.458707388305709	-0.0282868736794015	-0.410160490718818	0.171982074351402
DefiniteViral_48	DefiniteViral	primary_viral	0.323413966438875	-0.199882871770194	-0.371645610791654	-0.617139370122589	-0.237862319305095
DefiniteViral_49	DefiniteViral	primary_viral	0.0220723429119995	-0.278987495341579	0.432944082384732	0.570134392920932	0.461074134634476
DefiniteViral_50	DefiniteViral	primary_viral	3.14700412124618	2.16000426804277	0.573276556422354	0.378430704709404	0.825841342753427
DefiniteViral_51	DefiniteViral	primary_viral	-0.1066395979761	-0.383689855426171	-0.225082765446644	-0.263246311644317	-0.284353844492873
DefiniteViral_52	DefiniteViral	primary_viral	0.248752702504656	0.0783511627294385	-0.297216634950464	-0.297840087902468	-0.244128633932811
DefiniteViral_53	DefiniteViral	primary_viral	1.68846633975625	0.922475340758295	-0.113057468949797	-0.378423477032905	0.0243818462167038
DefiniteViral_54	DefiniteViral	primary_viral	0.00412765069867946	-0.153663206268353	0.100177400535805	0.224937172447409	0.0653469687182674
DefiniteViral_55	DefiniteViral	primary_viral	1.17696606934057	0.466759050829241	-0.181705506209764	-0.436056214704342	-0.206167318804337
DefiniteViral_56	DefiniteViral	primary_viral	-0.3077563640224	-0.336233791652337	-0.0151889976250654	0.142832057151711	-0.00438464975364637
DefiniteViral_57	DefiniteViral	primary_viral	-0.725870038408682	-0.715791686641222	-0.62285662185044	-0.746887905626056	-0.479190317685122
DefiniteViral_58	DefiniteViral	primary_viral	-0.313110230039799	-0.246510245619316	-0.170985581605702	-0.142089979215504	-0.17662600819066
DefiniteViral_59	DefiniteViral	primary_viral	0.759008251174943	0.691702192192633	0.480880077437741	0.218618596626715	0.782638685365949
DefiniteViral_60	DefiniteViral	primary_viral	-0.791761509461025	-0.857017648242211	-0.754384584707969	-0.80670427124825	-0.685950791770664
DefiniteViral_61	DefiniteViral	primary_viral	-0.423230208060439	-0.647329692848277	-0.631756781678176	-0.799945363456805	-0.544154251631259
DefiniteViral_62	DefiniteViral	primary_viral	-0.13322373139201	0.0229453498158044	0.211935823977915	0.243621252821238	0.33371967133382
DefiniteViral_63	DefiniteViral	primary_viral	-0.609349922699918	-0.451424081568564	-0.180924001025802	-0.224071986303223	-0.305894115939578
DefiniteViral_64	DefiniteViral	primary_viral	-0.30190629001621	-0.0903705712606636	0.229537642781762	0.278125008222398	0.148740279385471
DefiniteViral_65	DefiniteViral	primary_viral	-0.173577204600559	0.165234896020179	0.20554400152668	0.174009315513738	0.253135140177984
DefiniteViral_66	DefiniteViral	primary_viral	-0.301282625683658	-0.595601419309885	-0.729722910542052	-0.696912026203466	-0.780120503150653
DefiniteViral_67	DefiniteViral	primary_viral	-0.34639428306838	-0.0879930049338753	0.169619023189164	0.47517240005775	-0.070397326251029
DefiniteViral_68	DefiniteViral	primary_viral	-0.07760895505416	-0.291335775552209	-0.295390975871293	-0.215575984075902	-0.455602063673686
DefiniteViral_69	DefiniteViral	primary_viral	-0.19542691006501	-0.241418159820802	-0.40524697508962	-0.441046824292561	-0.371001219293396
DefiniteViral_70	DefiniteViral	primary_viral	0.00889901228516137	0.0785971984772039	-0.20172396780637	-0.172588561997626	-0.310188738059033
DefiniteViral_71	DefiniteViral	primary_viral	-0.0607898340869506	0.0521423365323937	-0.324301490027332	-0.637227460454372	-0.177091067825803
DefiniteViral_72	DefiniteViral	primary_viral	-0.594952358017988	-0.754701983247003	-0.372733168240021	-0.19485188305325	-0.718290320719203
DefiniteViral_73	DefiniteViral	primary_viral	0.247887699649613	0.265993882087438	0.0115852354893565	0.135579788162839	-0.171133580388642
DefiniteViral_74	DefiniteViral	primary_viral	-1.08166038534867	-1.12859612925009	-0.838734973988273	-0.960506486649903	-0.676497409814087
DefiniteViral_75	DefiniteViral	primary_viral	-0.40861360141865	-0.3452339876866	-0.174108716868525	-0.17499763764738	-0.132689141654429
DefiniteViral_76	DefiniteViral	primary_viral	-0.438373511431104	-0.616467349760693	0.446312663526372	0.865999139106592	0.188010957190437
DefiniteViral_77	DefiniteViral	primary_viral	-0.566103489232576	-0.914723467451626	-0.156912654219101	0.0193703850427453	-0.375931528226446
DefiniteViral_78	DefiniteViral	primary_viral	-0.962192054189833	-0.864410133442445	-0.277633075246634	-0.066633399585007	-0.561663195587351
DefiniteViral_79	DefiniteViral	primary_viral	0.581421290814429	-0.0553734727381662	0.742714747425111	1.18919807851602	0.397468629210308
DefiniteViral_80	DefiniteViral	primary_viral	-0.950265301667489	-1.04773706943834	-0.149542842664095	0.157163204874723	-0.458993557547599
DefiniteViral_81	DefiniteViral	primary_viral	-0.328242078685404	-0.713258181235861	-0.626339641349794	-0.853979626151028	-0.457896919750101
DefiniteViral_82	DefiniteViral	primary_viral	0.24985178876604	0.0243756978680491	0.244702512137635	0.129227674753773	0.655333036139244
DefiniteViral_83	DefiniteViral	primary_viral	-0.453653729008386	-0.690389450410652	-0.697419033546107	-0.927341337064547	-0.597328196558323
DefiniteViral_84	DefiniteViral	primary_viral	-0.3632554597766	-0.645725861714415	-0.505764165362919	-0.781704926616995	-0.192557938791413
DefiniteViral_85	DefiniteViral	primary_viral	0.286059032975464	0.297632319494779	0.186917067025879	-0.047213486938957	0.501660889253485
DefiniteViral_86	DefiniteViral	primary_viral	-0.749350347947446	-0.662710333370352	-0.621436561600202	-0.766587660999193	-0.589777562397881
DefiniteViral_87	DefiniteViral	primary_viral	0.6051510292163	0.270605717340969	1.75350714355387	2.14689166507915	1.06826020276757
DefiniteViral_88	DefiniteViral	primary_viral	0.709850360844536	0.398299663510541	-0.371468825745155	-0.557361718671967	-0.295606973185161
DefiniteViral_89	DefiniteViral	primary_viral	-0.596408153232251	-0.588811913545487	-0.488443261274488	-0.289055083022584	-0.285051482120089
DefiniteViral_90	DefiniteViral	primary_viral	0.87054078814079	0.516476805947411	0.0670272636001075	-0.239645584766347	0.452594085687863
DefiniteViral_91	DefiniteViral	primary_viral	0.0409850104710031	-0.0350048386438395	0.00976860113763644	0.198109968868219	-0.236356495071491
DefiniteViral_92	DefiniteViral	primary_viral	-0.760754118693842	-0.627918849206096	-0.603781025678343	-0.747457527542579	-0.477169197341404
DefiniteViral_93	DefiniteViral	primary_viral	-0.633841143643639	-0.589159536584396	-0.691292777460425	-0.864168628961691	-0.569222337677083
DefiniteViral_94	DefiniteViral	primary_viral	-0.905931896155996	-0.970493879206016	-0.511129698292994	-0.465734172496338	-0.545040452699825
