SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
ACAT2	ACAT2	39	7330753	ILMN_1708672	292.2057
ACBD3	ACBD3	64746	5890112	ILMN_1665945	369.43405
ACBD4	ACBD4	79777	70068	ILMN_1676288	35.644545
ACBD5	ACBD5	91452	4060435	ILMN_2410362	3.6530495
ACBD6	ACBD6	84320	870349	ILMN_1684271	106.83655
ACBD7	ACBD7	414149	1410367	ILMN_2106002	5.6161295
ACCS	ACCS	84680	3390379	ILMN_3187680	177.51805
ACCSL	ACCSL	390110	6130291	ILMN_1780630	0.60479115
ACD	ACD	65057	1300154	ILMN_1716480	129.97215
ACE	ACE	1636	3830398	ILMN_1779984	-0.6235751
ACE2	ACE2	59272	7100468	ILMN_1667018	7.7507695
ACER1	ACER1	125981	3360019	ILMN_3241214	2.0453765
ACER2	ACER2	340485	520500	ILMN_3235340	53.652795
ACER3	ACER3	55331	1230017	ILMN_1812552	1090.5215
ACHE	ACHE	43	1710500	ILMN_1780485	4.2273895
ACIN1	ACIN1	22985	4860204	ILMN_1699636	504.88845
ACKR1	ACKR1	2532	50192	ILMN_1723684	60.3078
ACKR2	ACKR2	1238	460504	ILMN_1763127	8.819623
ACKR3	ACKR3	57007	450424	ILMN_1798360	80.1933
ACKR4	ACKR4	51554	1260138	ILMN_1698007	11.7223
ACLY	ACLY	47	4200259	ILMN_2371379	674.919
ACMSD	ACMSD	130013	7040450	ILMN_1727091	-8.690823
ACO1	ACO1	48	2450608	ILMN_1750800	185.1459
ACO2	ACO2	50	3930639	ILMN_1654861	104.9469
ACOT1	ACOT1	641371	4900438	ILMN_1715543	14.14812
ACOT11	ACOT11	26027	7400315	ILMN_2353978	13.84447
ACOT12	ACOT12	134526	2070181	ILMN_1785474	-3.2457355
ACOT13	ACOT13	55856	1580427	ILMN_2098743	200.75995
ACOT2	ACOT2	10965	6290059	ILMN_1716237	31.95295
ACOT4	ACOT4	122970	4780709	ILMN_1764321	17.04468
ACOT6	ACOT6	641372	4920072	ILMN_2156699	-0.1575516
ACOT7	ACOT7	11332	4290050	ILMN_1740265	341.87
ACOT8	ACOT8	10005	2900291	ILMN_1679600	126.1449
ACOT9	ACOT9	23597	7160592	ILMN_1658995	391.18405
ACOX1	ACOX1	51	1190327	ILMN_1750158	563.8323
ACOX2	ACOX2	8309	1010114	ILMN_1685703	21.581985
ACOX3	ACOX3	8310	4540010	ILMN_1743396	72.22978
ACP1	ACP1	52	6110672	ILMN_2344956	820.81775
ACP2	ACP2	53	2480025	ILMN_2104830	222.5355
ACP3	ACP3	55	2680725	ILMN_1758323	83.800405
ACP4	ACP4	93650	2690369	ILMN_1728331	40.77727
ACP5	ACP5	54	7050082	ILMN_2078599	214.14765
ACP6	ACP6	51205	4670671	ILMN_2234343	58.41299
ACP7	ACP7	390928	5910349	ILMN_2181432	347.90025
ACR	ACR	49	6900576	ILMN_1705637	7.5003435
ACRBP	ACRBP	84519	7510253	ILMN_1784203	469.4502
ACRV1	ACRV1	56	2570576	ILMN_1654468	3.255012
ACSBG1	ACSBG1	23205	2480730	ILMN_2227011	28.967485
ACSBG2	ACSBG2	81616	1660376	ILMN_1730002	-5.6481955
ACSF2	ACSF2	80221	2810253	ILMN_3236756	33.587775
ACSF3	ACSF3	197322	5820142	ILMN_1716832	18.977615
ACSL1	ACSL1	2180	1030431	ILMN_1684585	2528.2135
ACSL3	ACSL3	2181	1580524	ILMN_2360705	378.90605
ACSL4	ACSL4	2182	7000307	ILMN_1683598	504.36595
ACSL5	ACSL5	51703	7040286	ILMN_1705247	551.8621
ACSL6	ACSL6	23305	1190746	ILMN_1737418	23.617725
ACSM1	ACSM1	116285	5870669	ILMN_1661434	-13.280505
ACSM2A	ACSM2A	123876	630228	ILMN_1657592	-5.1730815
