ID_REF	ARRAY_ID	SYMBOL	ENTREZID	ENSEMBL	SYMBOL_UPPER
ILMN_1651684	990129	KIAA0586	9786	ENSG00000100578	KIAA0586
ILMN_1651685	1470075	FAM135B	51059	ENSG00000147724	FAM135B
ILMN_1651690	1690289				
ILMN_1651692	5270241	STK10	6793	ENSG00000072786	STK10
ILMN_1651693	4280646	GSG1	83445	ENSG00000111305	GSG1
ILMN_1651699	6650241	EPS8	2059	ENSG00000151491	EPS8
ILMN_1651705	1770500	CAT	847	ENSG00000121691	CAT
ILMN_1651708	6560440	RESP18	389075	ENSG00000182698	RESP18
ILMN_1651710	7210255	IQCD	115811	ENSG00000166578	IQCD
ILMN_1651711	1500053	AGAP4	119016	ENSG00000188234	AGAP4
ILMN_1651711	1500053	AGAP6	414189	ENSG00000204149	AGAP6
ILMN_1651711	1500053	AGAP9	642517	ENSG00000204172	AGAP9
ILMN_1651711	1500053	AGAP7P	653268		AGAP7P
ILMN_1651712	1740521	RBM11	54033	ENSG00000185272	RBM11
ILMN_1651715	4640072	RNF2	6045	ENSG00000121481	RNF2
ILMN_1651717	4060747	ADAMTS20	80070	ENSG00000173157	ADAMTS20
ILMN_1651719	3390020	MBTPS1	8720	ENSG00000140943	MBTPS1
ILMN_1651727	1260220	OOEP	441161	ENSG00000203907	OOEP
ILMN_1651735	5700672	TGOLN2	10618	ENSG00000152291	TGOLN2
ILMN_1651735	5700672	TGOLN2	10618	ENSG00000292253	TGOLN2
ILMN_1651737	2760097				
ILMN_1651741	3780753	ARMCX3	51566	ENSG00000102401	ARMCX3
ILMN_1651745	5820008	TMEM25	84866	ENSG00000149582	TMEM25
ILMN_1651752	2640397	TASL	80231	ENSG00000120280	TASL
ILMN_1651758	4180300				
ILMN_1651760	6620202	TYW3	127253	ENSG00000162623	TYW3
ILMN_1651763	730255	TFDP3	51270	ENSG00000183434	TFDP3
ILMN_1651767	7210685	MRTFA	57591	ENSG00000196588	MRTFA
ILMN_1651769	1230112	ZFYVE16	9765	ENSG00000039319	ZFYVE16
ILMN_1651771	2750753	RRAGB	10325	ENSG00000083750	RRAGB
ILMN_1651776	50129	FHOD1	29109	ENSG00000135723	FHOD1
ILMN_1651787	3120762	MSH5	4439	ENSG00000204410	MSH5
ILMN_1651787	3120762	MSH5	4439	ENSG00000235222	MSH5
ILMN_1651787	3120762	MSH5	4439	ENSG00000230293	MSH5
ILMN_1651787	3120762	MSH5	4439	ENSG00000230961	MSH5
ILMN_1651787	3120762	MSH5	4439	ENSG00000233345	MSH5
ILMN_1651787	3120762	MSH5	4439	ENSG00000227314	MSH5
ILMN_1651787	3120762	MSH5	4439	ENSG00000235569	MSH5
ILMN_1651787	3120762	MSH5	4439	ENSG00000237333	MSH5
ILMN_1651788	4890068	MAP3K11	4296	ENSG00000173327	MAP3K11
ILMN_1651789	5900228	VCX	26609	ENSG00000182583	VCX
ILMN_1651789	5900228	VCX2	51480	ENSG00000177504	VCX2
ILMN_1651789	5900228	VCX3A	51481	ENSG00000169059	VCX3A
ILMN_1651789	5900228	VCX3B	425054	ENSG00000205642	VCX3B
ILMN_1651792	5390110	RORC	6097	ENSG00000143365	RORC
ILMN_1651799	1740136	SLC38A2	54407	ENSG00000134294	SLC38A2
ILMN_1651800	6900592	GSTM4	2948	ENSG00000168765	GSTM4
ILMN_1651806	110564	TIPARP-AS1	100287227		TIPARP-AS1
ILMN_1651811	6960468				
ILMN_1651817	2260110	GRIK1	2897	ENSG00000171189	GRIK1
ILMN_1651819	4480669	GALNT11	63917	ENSG00000178234	GALNT11
ILMN_1651826	2140121	BASP1	10409	ENSG00000176788	BASP1
ILMN_1651828	5270717	CCT3	7203	ENSG00000163468	CCT3
ILMN_1651832	1780619	EHD1	10938	ENSG00000110047	EHD1
ILMN_1651838	7570053	RND1	27289	ENSG00000172602	RND1
ILMN_1651846	7510301	EML6	400954	ENSG00000214595	EML6
ILMN_1651848	6420291	ITSN1	6453	ENSG00000205726	ITSN1
ILMN_1651850	6450553	RPS16	6217	ENSG00000105193	RPS16
ILMN_1651865	3120414				
ILMN_1651872	110121	UBIAD1	29914	ENSG00000120942	UBIAD1
ILMN_1651878	6330168	EVC	2121	ENSG00000072840	EVC
ILMN_1651886	240097	CWF19L1	55280	ENSG00000095485	CWF19L1
ILMN_1651899	2320494	RPL19	6143	ENSG00000108298	RPL19
ILMN_1651900	3830039	KCNA4	3739	ENSG00000182255	KCNA4
ILMN_1651902	5910291	RASL11A	387496	ENSG00000122035	RASL11A
ILMN_1651903	4290193	MBD3L2	125997	ENSG00000230522	MBD3L2
ILMN_1651905	1690092				
ILMN_1651913	1430561				
ILMN_1651916	5260020	OCLN	100506658	ENSG00000197822	OCLN
ILMN_1651916	5260020	OCLN	100506658	ENSG00000273814	OCLN
ILMN_1651936	2350735	KMT5A	387893	ENSG00000183955	KMT5A
ILMN_1651938	3830348				
ILMN_1651940	6940079	OR6C76	390326	ENSG00000185821	OR6C76
ILMN_1651943	2630600	ANK3	288	ENSG00000151150	ANK3
ILMN_1651944	2760594				
ILMN_1651949	3180348	SCYL3	57147	ENSG00000000457	SCYL3
ILMN_1651950	4760747	TPST1	8460	ENSG00000169902	TPST1
