ID_REF	ARRAY_ID
ILMN_2092933	1660497
ILMN_1681886	6180332
ILMN_1767362	20100
ILMN_3251322	240673
ILMN_2211790	3440451
ILMN_1672403	2480239
ILMN_1805543	1570382
ILMN_1706992	580747
ILMN_1684919	2470044
ILMN_1727084	3140368
ILMN_1705250	5890326
ILMN_1722621	6180209
ILMN_1721495	4810575
ILMN_1798690	5130400
ILMN_1687035	10286
ILMN_1777683	780315
ILMN_1762294	780678
ILMN_1793040	3460356
ILMN_3247424	7570669
ILMN_1763000	3990433
ILMN_1776777	2900450
ILMN_1706963	5130612
ILMN_2320964	5490433
ILMN_1697628	2320228
ILMN_2319326	4760079
ILMN_1657442	6520072
ILMN_1679797	7330097
ILMN_1749493	6110519
ILMN_1657139	1710204
ILMN_3245693	2760725
ILMN_1806275	2230253
ILMN_1659599	130707
ILMN_1698777	780379
ILMN_1663132	1780647
ILMN_1700349	4290053
ILMN_1761309	2480709
ILMN_2120555	580561
ILMN_1742073	610592
ILMN_3241894	5690100
ILMN_1810691	2970288
ILMN_1676893	3800050
ILMN_2148944	6330224
ILMN_1708588	1030187
ILMN_2311674	2190463
ILMN_1685156	3120600
ILMN_1655935	50735
ILMN_1754440	5310431
ILMN_1654287	3060100
ILMN_1763344	3060064
ILMN_1711736	7100020
ILMN_2356786	1230289
ILMN_1759252	5900685
ILMN_1678791	2600609
ILMN_2336146	2630021
ILMN_2286339	6040601
ILMN_1694133	6250193
ILMN_1678501	730747
ILMN_1787378	1010477
ILMN_1814526	1990468
ILMN_2311278	3420747
ILMN_1764309	3370347
ILMN_1811598	2490612
ILMN_1740717	1510750
ILMN_2136010	5490382
ILMN_1797912	7550632
ILMN_1738604	5720161
ILMN_1691175	3800368
ILMN_2223359	3520709
ILMN_1702858	2760121
ILMN_2363634	3890598
ILMN_1813975	6620278
ILMN_1743331	3800722
ILMN_1775045	4200471
ILMN_2096322	3460201
ILMN_1688322	6100767
ILMN_2224833	6960685
ILMN_2358626	1030241
ILMN_1768062	3130450
ILMN_2358628	7100414
ILMN_1801020	7550161
ILMN_1708934	5670465
