sample_id_for_scoring	BACT_M1	BACT_M2	VIR_M1a	VIR_M1b	VIR_M2
434316	0.329103749519284	0.325203266578688	-0.0265213131140538	-0.200164652710353	0.158287120438801
434323	-0.740294911643845	-0.715569049585356	0.225056211212784	0.439711706835796	-0.0973943614260541
434325	0.0625634170579115	-0.345079871968005	-0.27773303597871	-0.719719203955982	0.0116588832572633
434330	-0.339800117425706	0.37105622455647	-0.0264778325459838	-0.131787179875058	-0.0824498045718989
434333	-0.489594750796781	-0.192030026601932	0.251749561751551	0.161508482774727	0.278710373035756
434335	0.00612395443641612	0.0428342504555455	-0.0744487852245036	-0.249695390724246	-0.00464793032300402
434393	0.323666185118039	0.156586943476341	-0.393232609253196	-0.857057067026921	-0.0644100710873749
434399	-0.141987548984585	0.0529150567137109	-0.0147795352967946	-0.289554424663935	-0.0163488185190823
434482	-1.10603032388724	-2.05532971926665	-0.564075608755018	0.109729490887992	-0.987895434866574
434486	-0.766370112640589	-0.274911617371122	0.315435094803756	0.324405001599134	0.239780470730372
434517	-0.0576117927716298	0.0700516974317221	-0.0776305892223996	-0.330572398293717	0.0888543250738887
434518	-0.0274246847941066	0.124591906410512	0.0676356387916982	-0.0391179701952989	0.0310017633026592
434532	0.0712636522677339	0.0348410833755089	-0.0811147461041674	-0.324056797337106	0.0484761293372785
434537	0.879113575010996	0.43137609542854	0.0314260947088743	-0.18710039148819	0.120424274489295
434557	0.587521639394178	0.740865273199351	-0.19443195108603	-0.350204589298805	-0.150742400434336
434567	-0.0274155314328335	0.355170519162273	0.236158461329885	0.280242197937507	0.182381280806178
434570	-0.182555027077086	0.0969881415534278	0.692212520693263	0.933306948055562	0.388880322297467
434596	-0.0919458108825841	-0.123131539703713	-0.183752108386983	-0.536206196251921	0.174723465333853
434597	0.496010515688175	0.605329666257267	0.00205053336602643	-0.0657502225471667	0.0165949236747495
434602	-0.321829236610479	0.0546892124239576	0.269201556168183	0.236722363150406	0.329317903452423
