source_feature_set	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	n_refseq_features_for_entrez_in_input	pooled_rank	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_adj.P.Val	all_three_concordant	stability_tier	recommended_use
site_aware_eligible	64848	YTHDC2	ENSG00000047188	YTH N6-methyladenosine RNA binding protein C2	NM_001345976	3	8251	-0.520170468803863	0.00731606599005708	0.0177328813156165	-0.83561364514785	0.0045660252871097	-0.107346521533258	0.80808919256618	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	100294145	LOC100294145	ENSG00000289047	uncharacterized LOC100294145	NR_037178	2	8254	-0.599342784796478	0.00733144737883703	0.017763704401425	-0.551993158399592	0.100763784595761	-0.750263369698714	0.0930600160690173	TRUE	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	23509	POFUT1	ENSG00000101346	protein O-fucosyltransferase 1	NM_172236	1	8256	-0.712007876748294	0.007347176705968	0.0177959796712304	-0.746786027541277	0.0517929857282804	-0.749334721546375	0.187820429999294	TRUE	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	163126	EID2	ENSG00000176396	EP300 interacting inhibitor of differentiation 2	NM_153232	1	8261	-0.584603990695379	0.0073717383737993	0.017846192438883	-0.871212794875546	0.00535880726603399	-0.192334867958749	0.714586169930055	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	5723	PSPH	ENSG00000146733	phosphoserine phosphatase	NM_004577	1	8262	0.412088043720642	0.00738082552991062	0.0178660287790708	0.488228083759766	0.0375669869088408	0.329465010522465	0.308845828909363	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	643418	LIPN	ENSG00000204020	lipase family member N	NM_001102469	1	8265	0.757555730033353	0.00739573212848247	0.0178956136524526	0.558840710244908	0.21995570483133	1.06262513292574	0.0328751661806392	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	149986	LSM14B	ENSG00000149657	LSM family member 14B	NM_144703	1	8272	-0.457974201316277	0.00745167286488035	0.0180157163472851	-0.826590878207677	0.00238890985625678	-0.0419669447725923	0.90479782590236	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	375743	PTAR1	ENSG00000188647	protein prenyltransferase alpha subunit repeat containing 1	NM_001366935	2	8274	-0.563768165325458	0.00745989913330733	0.0180312451978503	-0.754513774463022	0.0177534796473787	-0.295050870509629	0.512906472081946	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	51430	SUCO	ENSG00000094975	SUN domain containing ossification factor	NM_016227	4	8277	-0.588507967888578	0.00746666390692661	0.0180406319643507	-0.910881983855499	0.00640619419010737	-0.219524610391471	0.643116059868776	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	9156	EXO1	ENSG00000174371	exonuclease 1	NM_001319224	3	8280	0.770915984119228	0.00747388163359423	0.0180519515447163	1.22079714567793	0.00442756449574831	0.144883652632012	0.829929588751714	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	1021	CDK6	ENSG00000105810	cyclin dependent kinase 6	NM_001145306	2	8285	-0.474248853500893	0.0074834197370234	0.0180640810284527	-0.365497617189642	0.168618065884805	-0.668094347891454	0.0707233303667223	TRUE	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	117248	GALNT15	ENSG00000131386	polypeptide N-acetylgalactosaminyltransferase 15	NM_054110	1	8286	0.494912257899687	0.00749321215305893	0.0180855358253712	0.7709330580072	0.00460031928188136	0.147452462891989	0.752601836951665	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	780776	TVP23A	ENSG00000166676	trans-golgi network vesicle protein 23 homolog A	NR_134901	1	8290	0.536298389535765	0.00752704962021772	0.0181584397291597	0.614350083600688	0.0477690060862362	0.524788846363517	0.253185116147523	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	55745	AP5M1	ENSG00000053770	adaptor related protein complex 5 subunit mu 1	NM_018229	1	8291	-0.482433348520612	0.00754816739914065	0.0182071884954063	-0.785594285536911	0.0047368255103595	-0.12792130611807	0.744187096990606	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	246721	POLR2J2	ENSG00000228049	RNA polymerase II subunit J2	NM_032959	1	8292	0.58883508878826	0.00756949135939147	0.0182559482656092	0.919813382574109	0.00480648915513221	0.0624890083999578	0.904994977139002	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	8861	LDB1	ENSG00000198728	LIM domain binding 1	NM_001113407	1	8293	0.608440456195405	0.00757020745870779	0.0182559482656092	0.964975292064104	0.00570517596504479	0.0243298042789421	0.963292045146547	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	643387	TARDBPP3		TARDBP pseudogene 3	NR_026923	1	8297	0.581562449110708	0.00760916976944302	0.018341061373881	0.588649327969087	0.0729791700217316	0.67926574806575	0.119119976257334	TRUE	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	63901	FAM111A	ENSG00000166801	FAM111 trypsin like peptidase A	NM_001312909	2	8298	-0.431456780335223	0.00763088966922293	0.0183911981796565	-0.337948324081779	0.179824971486482	-0.631315734243161	0.047258019691156	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	55592	GOLGA2P5	ENSG00000290571	GOLGA2 pseudogene 5	NR_024261	1	8301	-0.680802053255201	0.00764210303389779	0.018411567109375	-0.245580968070857	0.571559519008219	-1.35412647028128	0.00266107685248658	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	114625	ERMAP	ENSG00000164010	erythroblast membrane associated protein (Scianna blood group)	NM_018538	2	8305	-0.433414674444791	0.0076787765422261	0.0184910116878964	-0.746436815533313	0.00174257962878475	-0.0480890848683449	0.905164909298732	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	1667	DEFA1	ENSG00000206047	defensin alpha 1	NM_004084	2	8306	0.761865303505903	0.00768064520451067	0.0184932847875041	0.613361036489731	0.148133072070114	0.984955384117246	0.0891905594311351	TRUE	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	51128	SAR1B	ENSG00000152700	secretion associated Ras related GTPase 1B	NM_016103	2	8307	0.454894587353287	0.00768677543231004	0.0185058170062319	0.287403187817846	0.299042678224032	0.720528563856472	0.0237328421238734	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
