source_feature_set	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	n_refseq_features_for_entrez_in_input	pooled_rank	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_adj.P.Val	all_three_concordant	stability_tier	recommended_use
all_modelled_features	8884	SLC5A6	ENSG00000138074	solute carrier family 5 member 6	NR_028323	1	14098	-0.234205018534674	0.188419170254965	0.26728578421968	0.099202148668566	0.738388077592374	-0.736876221336174	0.0391768359343458	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	338785	KRT79	ENSG00000185640	keratin 79	NM_175834	1	14102	0.362019226119394	0.188650655934539	0.267538254718114	0.525033769101827	0.22388619578079	0.144677028544624	0.827891110406543	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	150771	ITPRIPL1	ENSG00000198885	ITPRIP like 1	NM_001163524	5	14105	-0.25740583773381	0.188767402305281	0.267646882573791	0.340220393944542	0.260119391335025	-1.24976666651781	0.000873688067029307	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	8970	H2BC11	ENSG00000124635	H2B clustered histone 11	NM_021058	1	14108	-0.330036137666949	0.188905763260234	0.267786104298371	-0.181399752106861	0.67514144069909	-0.544801224627666	0.265524282615135	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	100130742	LRRC69	ENSG00000214954	leucine rich repeat containing 69	NR_148895	1	14110	0.300351698514141	0.188938841899016	0.267795031831214	0.36748560811054	0.307735367251352	0.277486933217607	0.598604647382093	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	3988	LIPA	ENSG00000107798	lipase A, lysosomal acid type	NM_001127605	3	14112	-0.208616525760677	0.189212414671553	0.268142775368817	-0.446559968098121	0.0661632123014501	0.138073235040967	0.705323518547226	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	8877	SPHK1	ENSG00000176170	sphingosine kinase 1	NM_021972	5	14113	-0.219362147259803	0.18923631758575	0.268142775368817	-0.411094893864971	0.109876724775583	0.0616694962459975	0.880233835136104	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	84085	FBXO30	ENSG00000118496	F-box protein 30	NM_032145	2	14116	0.357823605315841	0.189264634087015	0.268142775368817	-0.12858647400176	0.780403019995025	1.12175253015655	0.0303349921169748	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	374443	LOC374443	ENSG00000291107	C-type lectin domain family 2 member D pseudogene	NR_002814	9	14117	-0.221996997267132	0.189293381044217	0.268164505737996	0.0750252510924355	0.807929471194181	-0.746474601507513	0.0101901820069868	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	6103	RPGR	ENSG00000156313	retinitis pigmentosa GTPase regulator	NM_001034853	6	14120	0.294023081475795	0.189424170435277	0.268292775108718	0.442621952263139	0.197582240699531	0.105351836071721	0.850315608459015	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
