feature_id	N
NM_152673	8
NM_152692	2
NM_152735	2
NM_152766	2
NM_152785	2
NM_152992	2
NM_153213	2
NM_153332	2
NM_172165	8
NM_172166	8
NM_172209	5
NM_173471	2
NM_173531	2
NM_173573	2
NM_173803	4
NM_173821	2
NM_174919	3
NM_175085	2
NM_176786	2
NM_176889	3
NM_177423	2
NM_178229	2
NM_178517	2
NM_178544	2
NM_178829	2
NM_181077	2
NM_181507	2
NM_181508	2
NM_181657	2
NM_181842	5
NM_181877	2
NM_181879	5
NM_181985	5
NM_181986	5
NM_182614	2
NM_182679	2
NM_182683	2
NM_182684	2
NM_182705	2
NM_182849	2
NM_182985	2
NM_194284	2
NM_198075	2
NM_198181	2
NM_198291	2
NM_198440	2
NM_198481	10
NM_198488	2
NM_198990	2
NM_199189	2
NM_199227	2
NM_199336	2
NM_203289	7
NM_203402	2
NM_205858	2
NM_206949	2
NM_207007	2
NM_207421	2
NM_207437	2
NM_213651	2
NR_001435	8
NR_001445	2
NR_002196	2
NR_002808	2
NR_003061	42
NR_003561	2
NR_003661	2
NR_003683	2
NR_003922	5
NR_004400	3
NR_004408	2
NR_004421	2
NR_004427	2
NR_004430	2
NR_015392	2
NR_015421	3
NR_023363	2
NR_023364	2
NR_023365	2
NR_023374	3
NR_023378	2
NR_023379	2
NR_024058	2
NR_024241	3
NR_026680	2
NR_026751	8
NR_026791	7
NR_026800	2
NR_026864	3
NR_026947	2
NR_026972	7
NR_026973	7
NR_027295	2
NR_027354	2
NR_027355	2
NR_027381	10
NR_027382	10
NR_027409	2
NR_027426	2
NR_027427	2
NR_027638	2
NR_027639	2
NR_027768	2
NR_027862	2
NR_027873	2
NR_027878	2
NR_028075	2
NR_028351	2
NR_028475	2
NR_028502	2
NR_028503	2
NR_028504	2
NR_028505	2
NR_029396	2
NR_029401	2
NR_029406	2
NR_029409	2
NR_029411	2
NR_033249	2
NR_033380	2
NR_033381	2
NR_033714	2
NR_033715	2
NR_033823	7
NR_033897	2
NR_034078	2
NR_034079	2
NR_034090	2
NR_034172	3
NR_036443	2
NR_036678	2
NR_036750	3
NR_037860	7
