feature_id	pooled_rank	pooled_logFC	pooled_AveExpr	pooled_t	pooled_P.Value	pooled_adj.P.Val	pooled_B	Sri_Lanka_rank	Sri_Lanka_logFC	Sri_Lanka_P.Value	Sri_Lanka_adj.P.Val	United_States_rank	United_States_logFC	United_States_P.Value	United_States_adj.P.Val	pooled_direction	Sri_Lanka_direction	United_States_direction	pooled_Sri_Lanka_concordant	pooled_United_States_concordant	Sri_Lanka_United_States_concordant	all_three_concordant	pooled_FDR05	pooled_FDR10	Sri_Lanka_FDR05	United_States_FDR05	site_FDR05_count	site_direction_concordance_count	min_abs_site_logFC	mean_abs_site_logFC	stability_tier	recommended_use	bacterial_higher_stable	viral_higher_stable
NR_126012	3469	0.747856214336989	0.0638131300855076	4.39025088745947	1.71646456659613e-05	9.89552460863534e-05	2.21500959895544	7307	0.642195596214701	0.00435452374337143	0.0119181771374963	2371	1.05127024800605	0.000266835369121533	0.00225071301014827	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	0.642195596214701	0.846732922110376	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_001363774	3470	-1.11900735056758	-2.57508417027564	-4.38910204314652	1.72485874179118e-05	9.94105186659418e-05	2.21037178345049	968	-1.8835759023782	2.23911731983285e-08	4.62604414042739e-07	19571	0.0289672981594904	0.944795688639935	0.965410197867062	-1	-1	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	1	1	0.0289672981594904	0.956271600268845	Tier_4_pooled_FDR05_partial_site_direction_support	secondary_or_site_contextual_signal	FALSE	FALSE
NM_001351209	3471	-0.783929043996541	0.591369904022306	-4.38846317483519	1.72954373188297e-05	9.96518153095004e-05	2.20779315485074	3767	-0.947561968598968	0.000117426886467252	0.000623419246737077	6449	-0.683145854599788	0.0145015667145333	0.044970822255226	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	0.683145854599788	0.815353911599378	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001328646	3472	-0.829488658779884	-0.666801228073127	-4.38789039000537	1.7337544874603e-05	9.98421233791991e-05	2.20548152540251	2747	-1.12908685981429	1.89380594706527e-05	0.000137836756518406	10051	-0.47987824479093	0.0955941201498004	0.190208616941186	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1	3	0.47987824479093	0.80448255230261	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_004997	3473	-1.68398813369745	-1.19319185624008	-4.3878780699461	1.73384516473803e-05	9.98421233791991e-05	2.20543180724745	4149	-1.848846340727	0.000194506466463047	0.000937458307648136	6714	-1.52873948349504	0.0172472953495494	0.0513676849493214	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1	3	1.52873948349504	1.68879291211102	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NR_073481	3474	-0.642629688420814	0.556634004160415	-4.3864337833363	1.74450688293263e-05	0.000100427153574467	2.19960414223736	9206	-0.481986444069689	0.016595620670742	0.0360521201166814	1554	-0.966714446841332	5.47607667443973e-05	0.000704736534183528	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	0.481986444069689	0.724350445455511	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001199138	3475	0.745218169920776	4.01954666235132	4.38624118411165	1.74593339169889e-05	0.000100480350793053	2.19882713126698	15197	0.235602436045797	0.311650250041115	0.410126561201043	82	1.51302017797744	4.44823399623895e-09	1.08488087427784e-06	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	1	3	0.235602436045797	0.874311307011618	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_006257	3476	-0.725824472672492	1.19032680698918	-4.3860595926325	1.7472793947779e-05	0.000100528885547075	2.19809455574586	13898	-0.279979237930444	0.193701756658982	0.278733733733126	334	-1.45427853007153	2.21586789252768e-07	1.32680065816351e-05	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	1	3	0.279979237930444	0.867128884000987	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_153046	3477	1.43084276703869	2.03223974839078	4.38546861838139	1.75166674119101e-05	0.000100752324294159	2.1957106278258	12165	0.708639485092874	0.0881746977498463	0.144957318561379	701	2.58546426580592	2.3640609415351e-06	6.74448712835384e-05	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	1	3	0.708639485092874	1.6470518754494	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
NM_145276	3478	-0.949467163411475	-1.02734856394389	-4.38525881388334	1.75322685270647e-05	0.000100813064483257	2.19486436396607	4866	-1.01088887218808	0.000465824281453363	0.00191451290686104	6412	-0.878209446140476	0.0142088457652897	0.0443173278945772	-1	-1	-1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	3	0.878209446140476	0.944549159164278	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	FALSE	TRUE
NM_001351238	3479	0.683627745753478	-1.1353618421381	4.38510848248421	1.75434554008619e-05	0.000100848394527691	2.19425801086383	3288	0.867477782949015	5.40323054695865e-05	0.000328647225391198	9840	0.439110417141165	0.0877229701655327	0.178289804912651	1	1	1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	1	3	0.439110417141165	0.65329410004509	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	TRUE	FALSE
