rna_id	group	metadata_status	caution_flags	library_size	detected_genes_count_gt0	norm.factors	PC1	PC2	library_size_outlier_iqr	detected_genes_outlier_iqr	norm_factor_outlier_iqr	any_qc_outlier_iqr	caution_flagged_metadata
95969	bacterial	mapped_to_sample_key	none	50492333	19216	0.814421669439419	-0.0668049179566716	-90.6239553268244	FALSE	FALSE	FALSE	FALSE	FALSE
95970	bacterial	mapped_to_sample_key	none	50177045	19153	1.1045388416491	-7.12826109699429	-66.6442195709691	FALSE	FALSE	FALSE	FALSE	FALSE
95971	bacterial	mapped_to_sample_key	none	41616079	26184	1.04625154939608	-23.9680996064296	-51.5308965892531	FALSE	FALSE	FALSE	FALSE	FALSE
95981	bacterial	mapped_to_sample_key	none	55528914	27451	1.24074807774259	-31.5595566961652	-12.3019290201832	FALSE	FALSE	FALSE	FALSE	FALSE
95982	bacterial	mapped_to_sample_key	none	62144581	23621	0.607676285094902	-7.04689950737883	-109.686894561431	FALSE	FALSE	FALSE	FALSE	FALSE
95986	bacterial	mapped_to_sample_key	none	52878262	23012	0.713998481803756	-13.8094055182274	-82.8467522477324	FALSE	FALSE	FALSE	FALSE	FALSE
95994	bacterial	mapped_to_sample_key	none	62476657	24518	0.657875802018407	-10.9392910260433	-97.6254886612783	FALSE	FALSE	FALSE	FALSE	FALSE
95996	bacterial	mapped_to_sample_key	none	53271556	24699	0.707205876397998	-14.3262827712	-99.1199015236911	FALSE	FALSE	FALSE	FALSE	FALSE
95997	bacterial	mapped_to_sample_key	none	54621332	24891	0.784395785075426	-15.8848220908053	-59.0478978199317	FALSE	FALSE	FALSE	FALSE	FALSE
96004	bacterial	mapped_to_sample_key	none	51797658	18298	0.9569174751958	7.83597620504833	-91.1475846879612	FALSE	FALSE	FALSE	FALSE	FALSE
97389	bacterial	mapped_to_sample_key	none	43369991	16008	0.904203705292288	24.8080495379568	-89.109253828379	FALSE	FALSE	FALSE	FALSE	FALSE
97392	bacterial	mapped_to_sample_key	none	43163934	17444	1.0697707158305	51.9465296831076	-78.3211723858344	FALSE	FALSE	FALSE	FALSE	FALSE
97394	bacterial	mapped_to_sample_key	none	40199836	16030	0.774641838236077	32.3178100463268	-104.069053057335	FALSE	FALSE	FALSE	FALSE	FALSE
97395	bacterial	mapped_to_sample_key	none	52605704	16530	0.826465099531056	30.0894188095547	-115.555968033489	FALSE	FALSE	FALSE	FALSE	FALSE
97403	bacterial	mapped_to_sample_key	none	65802042	19342	0.966636492412474	-0.882113166448323	-59.6321990969201	FALSE	FALSE	FALSE	FALSE	FALSE
97406	bacterial	mapped_to_sample_key	none	46299125	21235	0.939643803221718	-9.83511232399257	-49.3051146259288	FALSE	FALSE	FALSE	FALSE	FALSE
97407	bacterial	mapped_to_sample_key	none	53783705	22784	0.7786007635278	-17.2962385310375	-69.1119920372994	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-02S0000141	non_covid_viral	mapped_to_sample_key	none	54713376	17793	1.17150717133879	-10.2322661697731	-1.47497691711253	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-02S0000142	non_covid_viral	mapped_to_sample_key	none	43059798	16640	1.15516129597378	-1.35816808843479	-15.1947021358178	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-02S0000143	non_covid_viral	mapped_to_sample_key	none	51484463	17070	1.06131849058159	-0.99034642166062	-22.5171999606631	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-02S0000144	non_covid_viral	mapped_to_sample_key	none	56834872	13567	1.03206294569337	55.3717080475057	-52.8016047317315	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-02S0000145	non_covid_viral	mapped_to_sample_key	none	60740358	22660	1.2807660797663	-30.3406688825843	16.6771828157696	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-02S0000146	non_covid_viral	mapped_to_sample_key	none	43612911	19060	0.982895016058475	-14.6522716180188	18.0159895934748	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-03S0000604	non_covid_viral	mapped_to_sample_key	none	50351794	21178	0.859715046015872	-19.3159428007511	-9.58158546320222	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-03S0000611	non_covid_viral	mapped_to_sample_key	none	52172232	22431	0.993854666335291	-28.0565102249467	-0.000474621174272009	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-03S0000632	non_covid_viral	mapped_to_sample_key	none	50037421	17806	1.29410464101244	-12.0281171298602	20.1932765493653	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-03S0000774	non_covid_viral	mapped_to_sample_key	none	43639732	25902	1.50972111688853	-31.3141926875681	32.1302524302544	FALSE	FALSE	TRUE	TRUE	FALSE
DU09-03S0000775	non_covid_viral	mapped_to_sample_key	none	56439096	25397	0.959319622308682	-26.7497414264536	10.1885052603495	FALSE	FALSE	FALSE	FALSE	FALSE
