analysis_id	analysis_role	final_module_id	final_module_label	module_direction	comparison_group	n	mean_score	sd_score	median_score	first_quartile	third_quartile	interquartile_range	minimum_score	maximum_score
primary_only_representative_51_z_definite	z_reference_sensitivity	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	bacterial	23	-0.524837341177112	0.34236279917394	-0.575933500818214	-0.826494664786195	-0.279375033582431	0.547119631203764	-1.12245323411521	0.194953964387826
primary_only_representative_51_z_definite	z_reference_sensitivity	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	viral	28	0.431116387395485	0.517218904984398	0.325924173901922	0.0711633183373448	0.855292846741894	0.784129528404549	-0.845652838039159	1.46342539152916
primary_only_representative_51_z_definite	z_reference_sensitivity	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	bacterial	23	-0.300538281559604	0.208368165433814	-0.293605042946238	-0.431086752334104	-0.180330860667947	0.250755891666157	-0.69984265538835	0.278539661992987
primary_only_representative_51_z_definite	z_reference_sensitivity	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	viral	28	0.246870731281104	0.206307923041075	0.246919424558311	0.171133048477423	0.385694002923077	0.214560954445655	-0.439999911437975	0.548663281443966
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	bacterial	40	0.0839848001617545	0.707514917178156	0.091339439386634	-0.321921604446977	0.620547587905193	0.94246919235217	-1.31427217083691	1.39725745588325
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	viral	35	-0.105464043362978	0.732025094287397	-0.238404660967791	-0.551581386945681	0.277347093371294	0.828928480316975	-1.49193122367999	1.18619085335761
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	bacterial	40	0.213544117600704	0.461675164426344	0.264233821587952	-0.0772732245498349	0.494012114130034	0.571285338679869	-0.908369936994567	1.16490133297444
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	viral	35	-0.102771651695728	0.478689372238114	-0.170521491261911	-0.348586099652775	0.177677177176738	0.526263276829513	-1.07610501579081	0.805971147443852
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	bacterial	40	-0.318766426965807	0.29142785319107	-0.341218678796137	-0.525943466203097	-0.119158376367329	0.406785089835768	-0.926730003458137	0.362500967181174
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	viral	35	0.322672122439936	0.393026354926559	0.29427027095435	0.117020055340076	0.635185496272909	0.518165440932832	-0.69494205881256	0.959789036410909
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	bacterial	40	-0.394188314299828	0.415205182842239	-0.452690488503368	-0.733356413378679	-0.168338997640487	0.565017415738193	-1.08531784105341	0.504556109230507
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	viral	35	0.474369630672052	0.566283082144533	0.422136755315952	0.116412112758963	0.901763978159725	0.785351865400762	-0.932567422919277	1.54602888148549
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	bacterial	40	-0.256714918801466	0.228097709059115	-0.271818881235934	-0.399413196444675	-0.136514675731523	0.262898520713152	-0.747252433290909	0.268949751983592
expanded_representative_all146_z_definite_probable	expanded_case_definition_sensitivity	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	viral	35	0.201293419746379	0.237586101280438	0.249079198326655	0.124011696330109	0.373041361867131	0.249029665537023	-0.490215415017953	0.541843553867942
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	bacterial	23	0.280658236087405	0.692294252578812	0.197681994170113	-0.205066022759624	0.868398738367599	1.07346476112722	-0.915114562303004	1.36059060513312
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	viral	28	-0.0664645187858325	0.804280065768422	-0.280080294745992	-0.516940035453295	0.548417581591631	1.06535761704493	-1.44576969560451	1.26926254358842
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	bacterial	23	0.370251369957611	0.387488741926337	0.359399092766325	0.0693201428361706	0.573341942913575	0.504021800077404	-0.247214912633126	1.12272875842033
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	viral	28	-0.0269714938755577	0.492300421499717	-0.0696509779546815	-0.293604890345886	0.326386695716231	0.619991586062118	-0.96367032370289	0.776986379489497
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	bacterial	23	-0.372995129108674	0.218920445744238	-0.371860294892286	-0.534118657214212	-0.241224714881089	0.292893942333123	-0.906181439078033	0.0363283305486439
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	viral	28	0.35373549914441	0.350983397385837	0.29360312046714	0.109286292207499	0.636001087700112	0.526714795492613	-0.663267642936012	1.01136922854476
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	bacterial	23	-0.448597903673601	0.324150181673285	-0.517093500406788	-0.730618352981819	-0.195463078522049	0.53515527445977	-1.07929413981039	0.198028363391365
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	viral	28	0.520662701946523	0.544371469839852	0.395038975730886	0.150517477014815	0.927973572556546	0.77745609554173	-0.755053433206954	1.68669346979195
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	bacterial	23	-0.326076140372246	0.218988478623211	-0.319528473104409	-0.412871173204177	-0.211167835104864	0.201703338099314	-0.772759204129833	0.302281864715916
all_probe_mean_all146_z_definite	probe_collapse_sensitivity	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	viral	28	0.231607964235105	0.217294119792818	0.255068881552647	0.150839825038251	0.400200123379507	0.249360298341256	-0.515890063594553	0.541606258467606
