supplementary_table_section	SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
S3D_gene_probe_choice_for_projection	ABCA4	ABCA4	24	6650504	ILMN_1794965	-4.624393
S3D_gene_probe_choice_for_projection	ABCA5	ABCA5	23461	7650253	ILMN_1749001	0.3302489
S3D_gene_probe_choice_for_projection	ABCA6	ABCA6	23460	6940519	ILMN_1795507	5.861162
S3D_gene_probe_choice_for_projection	ABCA7	ABCA7	10347	2570100	ILMN_1743205	318.4702
S3D_gene_probe_choice_for_projection	ABCA8	ABCA8	10351	2710392	ILMN_1796801	16.91651
S3D_gene_probe_choice_for_projection	ABCA9	ABCA9	10350	4730370	ILMN_1720501	17.21552
S3D_gene_probe_choice_for_projection	ABCB1	ABCB1	5243	1230048	ILMN_1812070	50.83586
S3D_gene_probe_choice_for_projection	ABCB10	ABCB10	23456	4810048	ILMN_1665730	220.5643
S3D_gene_probe_choice_for_projection	ABCB11	ABCB11	8647	7330332	ILMN_2232066	3.793386
S3D_gene_probe_choice_for_projection	ABCB4	ABCB4	5244	1070594	ILMN_1767349	14.90895
S3D_gene_probe_choice_for_projection	ABCB5	ABCB5	340273	650376	ILMN_1658257	-14.9684
S3D_gene_probe_choice_for_projection	ABCB6	ABCB6	10058	2810367	ILMN_2193980	83.86851
S3D_gene_probe_choice_for_projection	ABCB7	ABCB7	22	5700286	ILMN_1687840	170.1948
S3D_gene_probe_choice_for_projection	ABCB8	ABCB8	11194	3990592	ILMN_2102422	6.110334
S3D_gene_probe_choice_for_projection	ABCB9	ABCB9	23457	6900241	ILMN_2343048	178.8966
S3D_gene_probe_choice_for_projection	ABCC1	ABCC1	4363	1500187	ILMN_1802404	10.46003
S3D_gene_probe_choice_for_projection	ABCC10	ABCC10	89845	650646	ILMN_1776119	47.93109
S3D_gene_probe_choice_for_projection	ABCC11	ABCC11	85320	2600541	ILMN_1732140	13.98978
S3D_gene_probe_choice_for_projection	ABCC12	ABCC12	94160	6290348	ILMN_1762093	-4.611083
S3D_gene_probe_choice_for_projection	ABCC13	ABCC13	150000	4780553	ILMN_1774344	12.32759
S3D_gene_probe_choice_for_projection	ABCC2	ABCC2	1244	2230746	ILMN_1676278	2.72331
S3D_gene_probe_choice_for_projection	ABCC3	ABCC3	8714	270615	ILMN_1677814	134.1994
S3D_gene_probe_choice_for_projection	ABCC4	ABCC4	10257	2450201	ILMN_1788457	72.31248
S3D_gene_probe_choice_for_projection	ABCC5	ABCC5	10057	6580553	ILMN_1706531	146.8507
S3D_gene_probe_choice_for_projection	ABCC6	ABCC6	368	7160603	ILMN_2406654	12.83731
S3D_gene_probe_choice_for_projection	ABCC6P1	ABCC6P1	653190	4050386	ILMN_3246902	5.17094
S3D_gene_probe_choice_for_projection	ABCC6P2	ABCC6P2	730013	1340162	ILMN_3244070	25.91893
S3D_gene_probe_choice_for_projection	ABCC8	ABCC8	6833	4850086	ILMN_1767129	-16.15525
S3D_gene_probe_choice_for_projection	ABCC9	ABCC9	10060	6650315	ILMN_3242428	20.05253
S3D_gene_probe_choice_for_projection	ABCD1	ABCD1	215	4890609	ILMN_1772189	74.70371
S3D_gene_probe_choice_for_projection	ABCD2	ABCD2	225	2940709	ILMN_1652959	1.824658
S3D_gene_probe_choice_for_projection	ABCD3	ABCD3	5825	6020743	ILMN_3237656	10055.7
S3D_gene_probe_choice_for_projection	ABCD4	ABCD4	5826	7200102	ILMN_1651501	4.089303
S3D_gene_probe_choice_for_projection	ABCE1	ABCE1	6059	1090543	ILMN_2330267	185.019
S3D_gene_probe_choice_for_projection	ABCF1	ABCF1	23	7380113	ILMN_1763875	927.6934
S3D_gene_probe_choice_for_projection	ABCF2	ABCF2	10061	5420142	ILMN_1781999	92.89843
S3D_gene_probe_choice_for_projection	ABCF3	ABCF3	55324	4560689	ILMN_1810085	59.50852
S3D_gene_probe_choice_for_projection	ABCG1	ABCG1	9619	6060377	ILMN_1794782	251.4682
S3D_gene_probe_choice_for_projection	ABCG2	ABCG2	9429	7160220	ILMN_1789641	-15.20546
S3D_gene_probe_choice_for_projection	ABCG4	ABCG4	64137	3360390	ILMN_1779470	22.58937
S3D_gene_probe_choice_for_projection	ABCG5	ABCG5	64240	6290575	ILMN_1716592	6.650417
S3D_gene_probe_choice_for_projection	ABCG8	ABCG8	64241	2690367	ILMN_1680309	6.407781
S3D_gene_probe_choice_for_projection	ABHD1	ABHD1	84696	620113	ILMN_1743371	1.835686
S3D_gene_probe_choice_for_projection	ABHD10	ABHD10	55347	1300328	ILMN_1770031	184.2449
S3D_gene_probe_choice_for_projection	ABHD11	ABHD11	83451	1940068	ILMN_2338268	21.18789
S3D_gene_probe_choice_for_projection	ABHD11-AS1	ABHD11-AS1	171022	6590070	ILMN_1821139	4.891346
S3D_gene_probe_choice_for_projection	ABHD12	ABHD12	26090	7610382	ILMN_2245305	88.7821
S3D_gene_probe_choice_for_projection	ABHD12B	ABHD12B	145447	2690040	ILMN_1707925	16.19419
S3D_gene_probe_choice_for_projection	ABHD13	ABHD13	84945	4810600	ILMN_1785285	16.45354
S3D_gene_probe_choice_for_projection	ABHD14A	ABHD14A	25864	1430360	ILMN_1794213	202.7789
S3D_gene_probe_choice_for_projection	ABHD14A-ACY1	ABHD14A-ACY1	100526760	1400341	ILMN_1683883	20.92445
S3D_gene_probe_choice_for_projection	ABHD14B	ABHD14B	84836	150064	ILMN_2227533	180.7066
S3D_gene_probe_choice_for_projection	ABHD15	ABHD15	116236	780170	ILMN_3255792	28049.98
S3D_gene_probe_choice_for_projection	ABHD16A	ABHD16A	7920	5910220	ILMN_2152402	503.0444
S3D_gene_probe_choice_for_projection	ABHD16B	ABHD16B	140701	4850162	ILMN_1805483	-2.258358
S3D_gene_probe_choice_for_projection	ABHD17A	ABHD17A	81926	6860242	ILMN_3297510	549.1363
S3D_gene_probe_choice_for_projection	ABHD17B	ABHD17B	51104	6180470	ILMN_1785661	101.7193
S3D_gene_probe_choice_for_projection	ABHD17C	ABHD17C	58489	4150519	ILMN_1788416	70.80586
S3D_gene_probe_choice_for_projection	ABHD18	ABHD18	80167	5810192	ILMN_1761963	154.8235
S3D_gene_probe_choice_for_projection	ABHD2	ABHD2	11057	6900475	ILMN_1723662	136.875
S3D_gene_probe_choice_for_projection	ABHD3	ABHD3	171586	5050241	ILMN_1801767	258.9629
