scoring_population	final_module_id	deletion_order	final_module_label	final_module_direction	deleted_gene_1	deleted_gene_2	available_gene_count	retained_gene_count	n_bacterial	n_viral	mean_bacterial	mean_viral	median_bacterial	median_viral	median_difference_bacterial_minus_viral	full_module_median_difference	effect_change_from_full	abs_effect_change_from_full	wilcox_W	wilcox_p	nominal_p_lt_0_05	full_module_wilcox_p	full_module_nominal_p_lt_0_05	same_nominal_significance_state_as_full	expected_direction_match	effect_sign_preserved_vs_full	pearson_correlation_with_full_scores	spearman_correlation_with_full_scores	mean_abs_score_deviation	max_abs_score_deviation	absolute_median_difference	worst_case_criterion
main_all_projected_reference	VIR_M1a	leave_one	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	IFI27	none	128	127	52	94	-0.243683802911647	0.229713796726243	-0.293036074774589	0.16090154272281	-0.453937617497399	-0.462947452274773	0.00900983477737388	0.00900983477737388	1306	3.34272160521148e-06	TRUE	1.90756029587882e-06	TRUE	TRUE	TRUE	TRUE	0.999911025193021	0.99973843653022	0.00524990208101746	0.0324838881820707	0.453937617497399	largest_wilcox_p
main_all_projected_reference	VIR_M1a	leave_one	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	CSF1	none	128	127	52	94	-0.249040779597429	0.235262874105418	-0.302174718281879	0.168383263494856	-0.470557981776735	-0.462947452274773	-0.00761052950196223	0.00761052950196223	1278	1.90756029587882e-06	TRUE	1.90756029587882e-06	TRUE	TRUE	TRUE	TRUE	0.999899897366821	0.999782769321708	0.00703785751798115	0.0286906700968996	0.470557981776735	lowest_pearson_correlation
main_all_projected_reference	VIR_M1a	leave_one	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	N4BP3	none	128	127	52	94	-0.247023294391394	0.236002697843019	-0.289177743572339	0.162902132030687	-0.452079875603026	-0.462947452274773	0.0108675766717467	0.0108675766717467	1283	2.11049456928898e-06	TRUE	1.90756029587882e-06	TRUE	TRUE	TRUE	TRUE	0.999900672663621	0.999700014777597	0.00680050785028648	0.0237789897092309	0.452079875603026	smallest_absolute_median_difference
main_all_projected_reference	VIR_M1a	leave_two	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	DDX3X	TANK	128	126	52	94	-0.25741610504394	0.237421562776207	-0.322179344165969	0.177656890910853	-0.499836235076822	-0.462947452274773	-0.0368887828020491	0.0368887828020491	1253	1.14373131164708e-06	TRUE	1.90756029587882e-06	TRUE	TRUE	TRUE	TRUE	0.99974432702804	0.99954041672824	0.00971622818073893	0.0486628110406153	0.499836235076822	largest_absolute_effect_change
main_all_projected_reference	VIR_M1a	leave_two	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	CCL8	DEFB1	128	126	52	94	-0.247199913118825	0.234263935852006	-0.297126829709126	0.17132701902913	-0.468453848738256	-0.462947452274773	-0.00550639646348317	0.00550639646348317	1282	2.06831668873874e-06	TRUE	1.90756029587882e-06	TRUE	TRUE	TRUE	TRUE	0.999701881572674	0.999909856657308	0.00727631368247735	0.129818355529584	0.468453848738256	largest_sample_score_deviation
main_all_projected_reference	VIR_M1a	leave_two	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	IFI27	IFI6	128	126	52	94	-0.241445927951989	0.22660797002374	-0.288925362896083	0.156818938885086	-0.445744301781169	-0.462947452274773	0.0172031504936035	0.0172031504936035	1317	4.1525026436006e-06	TRUE	1.90756029587882e-06	TRUE	TRUE	TRUE	TRUE	0.999778763914251	0.999497561696468	0.00857391060181905	0.0484121131829233	0.445744301781169	largest_wilcox_p
main_all_projected_reference	VIR_M1a	leave_two	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	BNIP3L	IFIT1B	128	126	52	94	-0.248300556718627	0.233310382949891	-0.300020116325199	0.176599978003257	-0.476620094328456	-0.462947452274773	-0.0136726420536836	0.0136726420536836	1302	3.08768213543433e-06	TRUE	1.90756029587882e-06	TRUE	TRUE	TRUE	TRUE	0.999644688977162	0.999357174523422	0.0120838759926502	0.0972288173207153	0.476620094328456	lowest_pearson_correlation
main_all_projected_reference	VIR_M1a	leave_two	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	N4BP3	SH2D1B	128	126	52	94	-0.244023597689614	0.236990471546534	-0.285636175539949	0.15593128228389	-0.441567457823838	-0.462947452274773	0.0213799944509342	0.0213799944509342	1292	2.52914869012705e-06	TRUE	1.90756029587882e-06	TRUE	TRUE	TRUE	TRUE	0.999802249549422	0.999553716565686	0.00896725220358214	0.0414697373515995	0.441567457823838	smallest_absolute_median_difference
main_all_projected_reference	VIR_M1b	leave_one	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TANK	none	33	32	52	94	-0.293661417932717	0.347844060306138	-0.424663025402905	0.310893833291012	-0.735556858693917	-0.673898854038133	-0.0616580046557844	0.0616580046557844	1135	8.92423832065347e-08	TRUE	2.82349820628983e-07	TRUE	TRUE	TRUE	TRUE	0.999318490036507	0.998701049209398	0.0193898682099544	0.126721899669742	0.735556858693917	largest_absolute_effect_change
main_all_projected_reference	VIR_M1b	leave_one	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	ISG20	none	33	32	52	94	-0.265605254256634	0.339057867885276	-0.362410334302663	0.300905969488017	-0.66331630379068	-0.673898854038133	0.0105825502474524	0.0105825502474524	1191	3.07948609028502e-07	TRUE	2.82349820628983e-07	TRUE	TRUE	TRUE	TRUE	0.999686044351615	0.999559627604551	0.0118517375590249	0.132210925123293	0.66331630379068	largest_sample_score_deviation
main_all_projected_reference	VIR_M1b	leave_one	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	IFI27	none	33	32	52	94	-0.258905987742365	0.328245207353946	-0.364283480019707	0.295726431847518	-0.660009911867226	-0.673898854038133	0.0138889421709067	0.0138889421709067	1264	1.43420404914546e-06	TRUE	2.82349820628983e-07	TRUE	TRUE	TRUE	TRUE	0.999174315529029	0.998449830057633	0.0200628361476927	0.127034457178734	0.660009911867226	largest_wilcox_p
main_all_projected_reference	VIR_M1b	leave_one	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	ZBTB20	none	33	32	52	94	-0.270159800900409	0.358008439063179	-0.363083053838597	0.295148813809421	-0.658231867648018	-0.673898854038133	0.015666986390115	0.015666986390115	1165	1.74372711309151e-07	TRUE	2.82349820628983e-07	TRUE	TRUE	TRUE	TRUE	0.999040516678135	0.9980109354219	0.0280843857079481	0.111466711790065	0.658231867648018	lowest_pearson_correlation
main_all_projected_reference	VIR_M1b	leave_one	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRIM6	none	33	32	52	94	-0.267962141513578	0.335830212405353	-0.368839820779282	0.289345973057473	-0.658185793836756	-0.673898854038133	0.0157130602013769	0.0157130602013769	1196	3.43110178824526e-07	TRUE	2.82349820628983e-07	TRUE	TRUE	TRUE	TRUE	0.999635233615254	0.999510861533915	0.0137960191288342	0.104514789787587	0.658185793836756	smallest_absolute_median_difference
main_all_projected_reference	VIR_M1b	leave_two	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	DDX3X	TANK	33	31	52	94	-0.315212189468159	0.362751979383723	-0.461893372773707	0.332930236412654	-0.794823609186361	-0.673898854038133	-0.120924755148228	0.120924755148228	1094	3.48937915395721e-08	TRUE	2.82349820628983e-07	TRUE	TRUE	TRUE	TRUE	0.997378575465529	0.995546032215162	0.0416747899392099	0.186544055523309	0.794823609186361	largest_absolute_effect_change
