supplementary_table_section	final_module_id	final_module_label	final_module_direction	ENTREZID	SYMBOL	SYMBOL_UPPER	symbol_match	entrez_match	any_match
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	79132	DHX58	DHX58	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	151636	DTX3L	DTX3L	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	5610	EIF2AK2	EIF2AK2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	23052	ENDOD1	ENDOD1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	50943	FOXP3	FOXP3	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	2444	FRK	FRK	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10146	G3BP1	G3BP1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	9908	G3BP2	G3BP2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	2625	GATA3	GATA3	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	2633	GBP1	GBP1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	2635	GBP3	GBP3	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	51191	HERC5	HERC5	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	3429	IFI27	IFI27	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	3430	IFI35	IFI35	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10561	IFI44	IFI44	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10964	IFI44L	IFI44L	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	2537	IFI6	IFI6	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	64135	IFIH1	IFIH1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	3434	IFIT1	IFIT1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	439996	IFIT1B	IFIT1B	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	3433	IFIT2	IFIT2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	3437	IFIT3	IFIT3	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	24138	IFIT5	IFIT5	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10410	IFITM3	IFITM3	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	246778	IL27	IL27	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10527	IPO7	IPO7	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	3665	IRF7	IRF7	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10379	IRF9	IRF9	True	True	True
