requested_entrez	requested_symbol	authorized_probe_count	authorized_probe_ids	reference_population	reference_n	reference_mean	reference_sd
4343	MOV10	1	ILMN_1725700	All 146 GSE72810 samples	146	7.42190695753425	0.75831603158942
28998	MRPL13	1	ILMN_1671158	All 146 GSE72810 samples	146	6.59497262776712	0.443162905568552
29093	MRPL22	2	ILMN_1663220;ILMN_1748819	All 146 GSE72810 samples	146	7.47034347636986	0.588855063405754
64963	MRPS11	2	ILMN_1722905;ILMN_2405915	All 146 GSE72810 samples	146	7.95366939609247	0.272380942914196
51023	MRPS18C	2	ILMN_1658416;ILMN_2085903	All 146 GSE72810 samples	146	7.01175320813014	0.395073783512455
2206	MS4A2	1	ILMN_1806721	All 146 GSE72810 samples	146	5.97342842223288	0.179095614035741
113115	MTFR2	2	ILMN_1697998;ILMN_2139827	All 146 GSE72810 samples	146	6.03379965506849	0.0882481370401239
4599	MX1	1	ILMN_1662358	All 146 GSE72810 samples	146	11.9429128112123	1.43290644341331
4600	MX2	1	ILMN_2231928	All 146 GSE72810 samples	146	10.137709171089	0.999139345263779
23138	N4BP3	1	ILMN_1678531	All 146 GSE72810 samples	146	5.84768136397945	0.148155458115515
4696	NDUFA3	1	ILMN_1784641	All 146 GSE72810 samples	146	10.4695011944589	0.385934710328767
4697	NDUFA4	1	ILMN_1751258	All 146 GSE72810 samples	146	9.81027859128082	0.926860969351928
51103	NDUFAF1	1	ILMN_1754421	All 146 GSE72810 samples	146	6.57648056409589	0.395668385788095
91942	NDUFAF2	1	ILMN_1682857	All 146 GSE72810 samples	146	6.70837377012329	0.395255145601862
137682	NDUFAF6	1	ILMN_1727618	All 146 GSE72810 samples	146	6.21489910967123	0.160036024365812
55471	NDUFAF7	3	ILMN_1722186;ILMN_1787370;ILMN_2394132	All 146 GSE72810 samples	146	6.49628820298174	0.172212560922106
4707	NDUFB1	1	ILMN_1724367	All 146 GSE72810 samples	146	6.02541134956164	0.0986088849526277
4709	NDUFB3	2	ILMN_2119937;ILMN_2119945	All 146 GSE72810 samples	146	8.48508943338356	0.950262871740361
4718	NDUFC2	1	ILMN_1694274	All 146 GSE72810 samples	146	6.05436493410274	0.154937975359761
4724	NDUFS4	1	ILMN_1812312	All 146 GSE72810 samples	146	7.61446392489726	0.702072796558022
4731	NDUFV3	2	ILMN_1765500;ILMN_2387731	All 146 GSE72810 samples	146	6.15719085441096	0.107066014581373
64127	NOD2	1	ILMN_1762594	All 146 GSE72810 samples	146	7.67345355781507	0.652592044300237
51251	NT5C3A	2	ILMN_1769734;ILMN_2352121	All 146 GSE72810 samples	146	8.99342163212671	0.860375028620012
4938	OAS1	4	ILMN_1658247;ILMN_1672606;ILMN_1675640;ILMN_2410826	All 146 GSE72810 samples	146	7.68928122780993	0.991519288468751
4939	OAS2	4	ILMN_1674063;ILMN_1709333;ILMN_1736729;ILMN_2248970	All 146 GSE72810 samples	146	7.71847986622603	0.775600718162097
4940	OAS3	2	ILMN_1745397;ILMN_2184262	All 146 GSE72810 samples	146	7.34392193914384	0.950579853749421
8638	OASL	2	ILMN_1674811;ILMN_1681721	All 146 GSE72810 samples	146	7.83759344536986	1.22064109323489
54726	OTUD4	3	ILMN_1708203;ILMN_2287604;ILMN_2394975	All 146 GSE72810 samples	146	6.09543064423973	0.0931218810358514
5027	P2RX7	1	ILMN_1759326	All 146 GSE72810 samples	146	7.70446394134247	0.407376906219018
24145	PANX1	1	ILMN_1697817	All 146 GSE72810 samples	146	6.05163690190411	0.141959282140175
54625	PARP14	1	ILMN_1691731	All 146 GSE72810 samples	146	8.31023792342466	0.830760326565181
83666	PARP9	2	ILMN_1731224;ILMN_2053527	All 146 GSE72810 samples	146	8.41089365965069	0.757229153761512
23598	PATZ1	3	ILMN_1660611;ILMN_1759297;ILMN_2401844	All 146 GSE72810 samples	146	5.94507177407991	0.091078938446826
5295	PIK3R1	5	ILMN_1689057;ILMN_1691433;ILMN_1760303;ILMN_2289433;ILMN_2398235	All 146 GSE72810 samples	146	6.40332529179452	0.102005796324248
11040	PIM2	1	ILMN_1748283	All 146 GSE72810 samples	146	9.98542384573288	0.510610404921831
122618	PLD4	1	ILMN_1695490	All 146 GSE72810 samples	146	6.03504639183562	0.127177630038466
403313	PLPP6	1	ILMN_1802628	All 146 GSE72810 samples	146	6.40248508043836	0.175641769678465
5359	PLSCR1	1	ILMN_1745242	All 146 GSE72810 samples	146	7.17017219406849	0.751508962004742
5366	PMAIP1	2	ILMN_1689525;ILMN_2098446	All 146 GSE72810 samples	146	6.11345472741438	0.127040116422878
5371	PML	7	ILMN_1728019;ILMN_1731299;ILMN_1750861;ILMN_1808599;ILMN_1811588;ILMN_2248192;ILMN_2398378	All 146 GSE72810 samples	146	6.29661796453718	0.186339851345376
639	PRDM1	4	ILMN_1655077;ILMN_2294784;ILMN_2298159;ILMN_2414165	All 146 GSE72810 samples	146	6.4279961473476	0.207876831389943
5551	PRF1	1	ILMN_1740633	All 146 GSE72810 samples	146	8.57183699819863	1.01167525653473
8575	PRKRA	1	ILMN_1758474	All 146 GSE72810 samples	146	7.17161627796575	0.321822912721082
5734	PTGER4	1	ILMN_1795930	All 146 GSE72810 samples	146	7.4430032075274	0.452386141639739
5781	PTPN11	1	ILMN_1778236	All 146 GSE72810 samples	146	7.46864946128767	0.400967259548426
5996	RGS1	1	ILMN_1656011	All 146 GSE72810 samples	146	6.09241056047945	0.34646724391692
23586	RIGI	1	ILMN_1797001	All 146 GSE72810 samples	146	7.38092479879452	0.855639854366161
8767	RIPK2	1	ILMN_1758939	All 146 GSE72810 samples	146	7.42001972656849	0.423804413743301
6138	RPL15	1	ILMN_1762747	All 146 GSE72810 samples	146	10.1089102200685	0.782870918525975
6139	RPL17	3	ILMN_1655422;ILMN_1658283;ILMN_2383097	All 146 GSE72810 samples	146	9.88893933958676	1.07756137224103
9349	RPL23	1	ILMN_1755115	All 146 GSE72810 samples	146	8.35240534413699	1.16895182971494
6154	RPL26	1	ILMN_1731546	All 146 GSE72810 samples	146	8.16775834604795	1.34701245957019
51121	RPL26L1	2	ILMN_1776586;ILMN_2110532	All 146 GSE72810 samples	146	6.77800360979452	0.474301620973542
6155	RPL27	1	ILMN_1656807	All 146 GSE72810 samples	146	12.0024443727877	0.853966236069523
6159	RPL29	2	ILMN_1737517;ILMN_1771051	All 146 GSE72810 samples	146	6.38343677187329	0.231673983526613
6160	RPL31	1	ILMN_1754195	All 146 GSE72810 samples	146	8.75743474289041	1.34146952758795
6164	RPL34	2	ILMN_1706873;ILMN_1774823	All 146 GSE72810 samples	146	6.66504889841781	0.479742323350795
6133	RPL9	3	ILMN_1729033;ILMN_1750507;ILMN_2408415	All 146 GSE72810 samples	146	8.77390547959361	0.922673527648501
6175	RPLP0	3	ILMN_1709880;ILMN_1745075;ILMN_2402090	All 146 GSE72810 samples	146	8.74579800552283	0.438808960037744
6210	RPS15A	3	ILMN_1787949;ILMN_2255310;ILMN_2337241	All 146 GSE72810 samples	146	10.6421217954361	0.920967539980025
6229	RPS24	2	ILMN_1656625;ILMN_2399893	All 146 GSE72810 samples	146	7.91179193077397	0.751098525723874
6232	RPS27	3	ILMN_1660498;ILMN_1696839;ILMN_2160819	All 146 GSE72810 samples	146	11.8940525681758	0.813745091087294
6189	RPS3A	3	ILMN_1657722;ILMN_1673638;ILMN_2139943	All 146 GSE72810 samples	146	10.281951046274	1.2076114694203
6192	RPS4Y1	1	ILMN_1783142	All 146 GSE72810 samples	146	8.34442780395206	2.18307522188459
6201	RPS7	2	ILMN_1750722;ILMN_2070072	All 146 GSE72810 samples	146	6.2347453437774	0.253229016755191
6203	RPS9	2	ILMN_1749447;ILMN_2038772	All 146 GSE72810 samples	146	11.8575924822808	0.552671365007123
91543	RSAD2	1	ILMN_1657871	All 146 GSE72810 samples	146	8.44276418379452	1.77518545628902
64108	RTP4	1	ILMN_2173975	All 146 GSE72810 samples	146	6.91542013684247	0.70512748603697
54809	SAMD9	1	ILMN_1814305	All 146 GSE72810 samples	146	8.79236089587671	0.886998801107059
256987	SERINC5	1	ILMN_1789464	All 146 GSE72810 samples	146	6.22602235386301	0.204761854327647
5272	SERPINB9	2	ILMN_1742052;ILMN_2184250	All 146 GSE72810 samples	146	6.16939685065754	0.118996433031303
710	SERPING1	2	ILMN_1670305;ILMN_1711272	All 146 GSE72810 samples	146	6.80663369548973	0.683042561075793
117157	SH2D1B	1	ILMN_1701237	All 146 GSE72810 samples	146	6.31901511870548	0.31906033739132
23411	SIRT1	1	ILMN_1739083	All 146 GSE72810 samples	146	6.78101413034247	0.307452507776255
9016	SLC25A14	2	ILMN_1743770;ILMN_2347044	All 146 GSE72810 samples	146	6.27668252996918	0.126167779256386
91607	SLFN11	2	ILMN_1752520;ILMN_2162860	All 146 GSE72810 samples	146	7.2245041052089	0.287238675583248
146857	SLFN13	1	ILMN_2215862	All 146 GSE72810 samples	146	6.30506902667808	0.210234466457915
4088	SMAD3	1	ILMN_1682738	All 146 GSE72810 samples	146	7.37934114681507	0.350553503159309
27293	SMPDL3B	3	ILMN_1678095;ILMN_1719660;ILMN_1789913	All 146 GSE72810 samples	146	5.90779832228082	0.0832264031030672
8651	SOCS1	1	ILMN_1774733	All 146 GSE72810 samples	146	7.28549841081507	0.843296296937297
10417	SPON2	1	ILMN_1676099	All 146 GSE72810 samples	146	6.06458568667123	0.229420437180317
6714	SRC	3	ILMN_1685898;ILMN_1729987;ILMN_1778253	All 146 GSE72810 samples	146	6.36837252627626	0.193611788836994
6772	STAT1	3	ILMN_1690105;ILMN_1691364;ILMN_1777325	All 146 GSE72810 samples	146	10.132971205411	0.990557888255953
6773	STAT2	1	ILMN_1690921	All 146 GSE72810 samples	146	10.8708450278014	0.925051290687696
10010	TANK	4	ILMN_1715069;ILMN_1793849;ILMN_2292387;ILMN_2372773	All 146 GSE72810 samples	146	6.65263472838699	0.173195970905748
6938	TCF12	3	ILMN_1669832;ILMN_1772614;ILMN_2314007	All 146 GSE72810 samples	146	6.48489457096119	0.183750274948076
6932	TCF7	6	ILMN_1676470;ILMN_1677846;ILMN_1683986;ILMN_1707005;ILMN_1710746;ILMN_2367141	All 146 GSE72810 samples	146	6.27303531184132	0.216464781023976
7049	TGFBR3	1	ILMN_1784287	All 146 GSE72810 samples	146	7.41835219191781	0.823649912121787
353376	TICAM2	1	ILMN_1651346	All 146 GSE72810 samples	146	7.44204305714384	0.371312623775229
7098	TLR3	2	ILMN_1689578;ILMN_2155708	All 146 GSE72810 samples	146	5.88778045106849	0.0773117636668996
51284	TLR7	1	ILMN_1677827	All 146 GSE72810 samples	146	7.23247165105479	0.682627740598391
84233	TMEM126A	1	ILMN_2217809	All 146 GSE72810 samples	146	7.41665784206164	0.559194995691785
25880	TMEM186	1	ILMN_2230998	All 146 GSE72810 samples	146	6.16039197630822	0.0926989172146125
7293	TNFRSF4	2	ILMN_1710204;ILMN_2112256	All 146 GSE72810 samples	146	6.3160959190137	0.192601955260304
8743	TNFSF10	1	ILMN_1801307	All 146 GSE72810 samples	146	10.0135891043904	0.872444114465873
9966	TNFSF15	2	ILMN_1759501;ILMN_2106380	All 146 GSE72810 samples	146	6.6919762632774	0.199922121924289
7292	TNFSF4	2	ILMN_1746175;ILMN_2089875	All 146 GSE72810 samples	146	6.30825677601027	0.191517016074158
944	TNFSF8	1	ILMN_1761778	All 146 GSE72810 samples	146	6.25674063984932	0.182922627905632
8744	TNFSF9	1	ILMN_1751464	All 146 GSE72810 samples	146	6.08478387671233	0.105039007505776
9868	TOMM70	1	ILMN_1746426	All 146 GSE72810 samples	146	7.81611611572603	0.39137721891134
9618	TRAF4	2	ILMN_1745976;ILMN_1763104	All 146 GSE72810 samples	146	5.97978656871233	0.0934409149066031
11277	TREX1	2	ILMN_1676997;ILMN_1770955	All 146 GSE72810 samples	146	5.94364777778767	0.0877765631617741
9830	TRIM14	4	ILMN_1677542;ILMN_1713542;ILMN_1772689;ILMN_2383290	All 146 GSE72810 samples	146	6.11268290773973	0.180598356777996
10346	TRIM22	1	ILMN_1779252	All 146 GSE72810 samples	146	9.3109811214589	0.980560278668019
22954	TRIM32	1	ILMN_1654737	All 146 GSE72810 samples	146	6.33115546476712	0.171808340628771
23087	TRIM35	2	ILMN_1671765;ILMN_1740389	All 146 GSE72810 samples	146	6.08811455434247	0.0611110361871637
10475	TRIM38	1	ILMN_1697971	All 146 GSE72810 samples	146	8.48044124163699	0.616285570944297
85363	TRIM5	3	ILMN_1704972;ILMN_1737599;ILMN_2404665	All 146 GSE72810 samples	146	6.67447404927626	0.361164683414
84851	TRIM52	1	ILMN_1754130	All 146 GSE72810 samples	146	7.14255693812329	0.324804815259499
117854	TRIM6	2	ILMN_1654786;ILMN_1656910	All 146 GSE72810 samples	146	5.99236981311986	0.177048749725612
7311	UBA52	2	ILMN_1782977;ILMN_2368576	All 146 GSE72810 samples	146	10.402269878911	0.277435417349106
9246	UBE2L6	3	ILMN_1703108;ILMN_1769520;ILMN_2252495	All 146 GSE72810 samples	146	8.57243663143607	0.566150962305977
8725	URI1	2	ILMN_1798728;ILMN_2406892	All 146 GSE72810 samples	146	7.82634150514384	0.41586596725426
29802	VPREB3	1	ILMN_1700147	All 146 GSE72810 samples	146	9.0277312905274	0.927215418205677
9213	XPR1	2	ILMN_1798030;ILMN_2104106	All 146 GSE72810 samples	146	7.06676831662329	0.225827281608268
