base_sample_id	sample_group	projection_role
DefiniteBacterial_27	DefiniteBacterial	primary_bacterial
DefiniteBacterial_28	DefiniteBacterial	primary_bacterial
DefiniteBacterial_29	DefiniteBacterial	primary_bacterial
DefiniteBacterial_30	DefiniteBacterial	primary_bacterial
DefiniteBacterial_31	DefiniteBacterial	primary_bacterial
DefiniteBacterial_32	DefiniteBacterial	primary_bacterial
DefiniteBacterial_33	DefiniteBacterial	primary_bacterial
DefiniteBacterial_34	DefiniteBacterial	primary_bacterial
DefiniteBacterial_35	DefiniteBacterial	primary_bacterial
DefiniteBacterial_36	DefiniteBacterial	primary_bacterial
DefiniteBacterial_37	DefiniteBacterial	primary_bacterial
DefiniteBacterial_38	DefiniteBacterial	primary_bacterial
DefiniteBacterial_39	DefiniteBacterial	primary_bacterial
DefiniteBacterial_40	DefiniteBacterial	primary_bacterial
DefiniteBacterial_41	DefiniteBacterial	primary_bacterial
DefiniteBacterial_42	DefiniteBacterial	primary_bacterial
DefiniteBacterial_43	DefiniteBacterial	primary_bacterial
DefiniteBacterial_44	DefiniteBacterial	primary_bacterial
DefiniteBacterial_45	DefiniteBacterial	primary_bacterial
DefiniteBacterial_46	DefiniteBacterial	primary_bacterial
DefiniteBacterial_47	DefiniteBacterial	primary_bacterial
DefiniteBacterial_48	DefiniteBacterial	primary_bacterial
DefiniteBacterial_49	DefiniteBacterial	primary_bacterial
DefiniteBacterial_50	DefiniteBacterial	primary_bacterial
DefiniteBacterial_51	DefiniteBacterial	primary_bacterial
DefiniteBacterial_52	DefiniteBacterial	primary_bacterial
DefiniteViral_01	DefiniteViral	primary_viral
DefiniteViral_02	DefiniteViral	primary_viral
DefiniteViral_03	DefiniteViral	primary_viral
DefiniteViral_04	DefiniteViral	primary_viral
DefiniteViral_05	DefiniteViral	primary_viral
DefiniteViral_06	DefiniteViral	primary_viral
DefiniteViral_07	DefiniteViral	primary_viral
DefiniteViral_08	DefiniteViral	primary_viral
DefiniteViral_09	DefiniteViral	primary_viral
DefiniteViral_10	DefiniteViral	primary_viral
DefiniteViral_11	DefiniteViral	primary_viral
DefiniteViral_12	DefiniteViral	primary_viral
DefiniteViral_13	DefiniteViral	primary_viral
DefiniteViral_14	DefiniteViral	primary_viral
DefiniteViral_15	DefiniteViral	primary_viral
